"rho","beta_coef","Tfull","beta_sd_avg","omega_sd_avg","rho_sd_avg"
0.6,1,4,0.00985818265824088,0.0154554345137953,0.0172124323861848
0.7,1,4,0.00993658582460985,0.01586056298168,0.0141877994949111
0.8,1,4,0.0100652465588777,0.0166117175559765,0.0090798399187848
0.9,1,4,0.0103833890644173,0.0183085399439218,0.00376617403356034
0.8,1,10,0.00928918103515661,0.0139955145901979,0.00497465933909982
0.9,1,10,0.00972111874522577,0.0160836048469095,0.00295822731016248
-0.9,1,10,0.0105800300104263,0.0136291461644218,0.00111411646091058
-0.8,1,10,0.00995757363557646,0.0134910457481583,0.00194935734316238
-0.7,1,10,0.00965223692016721,0.0133817859426283,0.00274426700244726
-0.6,1,10,0.00938142848885115,0.0132058907213984,0.00369000840338918
-0.5,1,10,0.00919890952293678,0.0131551071188052,0.00471336047253208
-0.4,1,10,0.00908991447790336,0.0131536948665404,0.00580235850986827
-0.3,1,10,0.00897739859735459,0.0130806721825949,0.00695009496247727
-0.2,1,10,0.00887116151185368,0.0129172246698631,0.00775110682147494
-0.1,1,10,0.00878187558796088,0.0127424877805765,0.00761895824406876
0,1,10,0.00872604600186268,0.0127763474891552,0.00620006514039755
0.1,1,10,0.00871181713665193,0.0127556347547015,0.00524351092547017
0.2,1,10,0.00873603287459127,0.0128668208898793,0.00582345811500053
0.3,1,10,0.00878672384628808,0.0129532416530386,0.00646149100032767
0.4,1,10,0.00881747915648533,0.0129041967196053,0.00656249516482543
0.5,1,10,0.00885300848856166,0.0129231886811152,0.00628055650899061
0.6,1,10,0.00897832382268673,0.0132379928854379,0.00592423782316138
0.7,1,10,0.00908303282382774,0.0133818347599334,0.00556889520045996
