"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","n_reps","beta_free","omega_var","Tfull","N"
0.972605867462081,8.6641193394287,2.28729167734516,25.2784131109852,0.119614916981145,0.388259240303437,-0.9,500,2.1,1,2,20
0.963555454123726,8.76222602291544,4.05421361427086,71.4048792919582,0.272127188998085,1.29523863907369,-0.6,500,2.1,1,2,20
36.690717456869,13.1595622822844,85221.2862669387,26711.5177040664,0.254375279350418,9.0846754270433,-0.3,500,2.1,1,2,20
2.49241897450804,9.88016110397336,267.736600180453,688.64531009885,0.147083233470644,4.37322342734789,0,500,2.1,1,2,20
0.867808847064785,6.00760642856963,3.17672495393389,52.2368747563994,0.0258777213844387,3.1917330424936,0.3,500,2.1,1,2,20
1.24761094334183,11.7688733239818,6.16985090007685,135.29086868352,-0.181019221842017,5.23121490562614,0.6,500,2.1,1,2,20
0.791581129699638,5.89582204906215,2.2188530323293,38.0494650440274,-0.2037650292769,2.11545243891503,0.9,500,2.1,1,2,20
1.02254637119637,8.78349946449278,2.05223029218339,22.683472539648,0.0860879152538362,0.369470249730681,-0.9,500,2.2,1,2,20
1.33373062139132,12.2132464802939,5.18966854565356,85.860096371512,0.29244295408106,3.14135468970724,-0.6,500,2.2,1,2,20
1.33151125522441,7.85629292857394,23.4758680114298,232.124274077246,0.27969710461762,4.24036427070725,-0.3,500,2.2,1,2,20
1.26825583960402,10.8474805509059,9.06193655176669,179.254944638224,0.165109567533402,2.96154856360814,0,500,2.2,1,2,20
4.8172713593925,8.34503210579776,773.185720757902,875.76861613769,0.0290781910123399,5.96784383398002,0.3,500,2.2,1,2,20
11.5627043544338,9.20693309717733,8357.79745907327,5929.63484740868,-0.153492783697153,7.83786151455691,0.6,500,2.2,1,2,20
8.70816853910787,13.7039272676004,5473.90679533098,5859.88235184841,-0.192732459431489,8.07083421137709,0.9,500,2.2,1,2,20
1.17104874417309,11.8050808769996,2.49275661431283,35.4680212414798,0.117717762785369,0.436195811874631,-0.9,500,2.3,1,2,20
1.40844314638275,14.9746731612397,5.57688342020455,123.369521830971,0.261537217330977,1.84171559282723,-0.6,500,2.3,1,2,20
1.45393114737142,11.5132502063384,22.5931798467542,258.283702670112,0.256288078770775,4.16571050854008,-0.3,500,2.3,1,2,20
14.5921486969845,13.2002195267859,4857.73320993101,5006.29961688914,0.188361038850622,9.77929948880029,0,500,2.3,1,2,20
64.0222916542175,12.7510816056938,371663.83946975,54790.8977719338,-0.0165639378783868,7.1747572632709,0.3,500,2.3,1,2,20
4.88384199028494,9.04847979178134,1781.91017669649,2580.19020616514,-0.163722938096208,5.2928091005813,0.6,500,2.3,1,2,20
2.6156609631818,9.45117325383665,279.489566347554,759.365782772179,-0.248865423811952,4.54507312903516,0.9,500,2.3,1,2,20
0.248714319349941,1.02179776417492,0.260201802184614,1.50783194831105,0.0346949093348897,0.10217577852179,-0.9,500,2.1,1,3,20
0.230109805152102,0.804830552408701,0.222395415731715,1.05687079378276,0.132702025079421,0.345877625458287,-0.6,500,2.1,1,3,20
0.201217064962185,0.740239292409849,0.212555158770286,1.02221637125178,0.217171553410165,0.578967300446725,-0.3,500,2.1,1,3,20
0.29330635910876,0.755148969742204,0.251142722342819,1.07140920699563,0.104275075039526,0.686783386035403,0,500,2.1,1,3,20
0.226339673736531,0.709006615328489,0.201916786899009,0.969670719117987,-0.0415287025046814,0.76598807967995,0.3,500,2.1,1,3,20
0.250691786585124,0.710288835397926,0.179024871552658,1.00109740018152,-0.181624050320565,0.745644892238771,0.6,500,2.1,1,3,20
0.286214471715391,0.73287639679632,0.281772567854213,1.2019368968853,-0.171515617834047,0.412508821025612,0.9,500,2.1,1,3,20
0.279205820781564,1.10445706759474,0.390183514385606,1.59470853589377,0.0296440438193346,0.0993961712032233,-0.9,500,2.2,1,3,20
0.191257797767651,0.837802434647386,0.159992667958704,1.06041567760987,0.163221624001848,0.363048588016793,-0.6,500,2.2,1,3,20
0.199221509774009,0.789705711608491,0.198917251634556,1.04718960884998,0.205078718849595,0.567727828599252,-0.3,500,2.2,1,3,20
0.213497950417498,0.760860603077211,0.136702566723796,0.977506965277449,0.142879967657521,0.724424109415214,0,500,2.2,1,3,20
0.235467890786632,0.727116885819554,0.129942595491825,0.939390399490363,-0.0341961893936425,0.757506301769214,0.3,500,2.2,1,3,20
0.263247964451047,0.758541742004293,0.230979083567668,1.07568033971624,-0.187849552425913,0.788193195398969,0.6,500,2.2,1,3,20
0.303232453829203,0.8026896194279,0.332058954182256,1.32626575566105,-0.196023349503401,0.406890797849017,0.9,500,2.2,1,3,20
0.258587900747179,1.17187854230631,0.27325284655483,1.51573665509307,0.0512180261593985,0.117245717359046,-0.9,500,2.3,1,3,20
0.295954463038891,1.26465386779721,0.487444196911891,3.49489067755562,0.161634212597494,0.375741058387569,-0.6,500,2.3,1,3,20
0.246867731555251,0.84369379956158,0.204252035655111,1.07271433194069,0.192765475003779,0.634175189568886,-0.3,500,2.3,1,3,20
