"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","n_reps","beta_free","omega_var","Tfull","N"
15.6649285940629,19.6749591546274,7008.69024562688,3781.31074445885,0.121262636160215,2.64269856275723,-0.9,500,2.8,1,2,20
36.1746334832216,29.6712729307477,34584.8959129233,18953.4335899059,0.297609196620887,10.9596923090128,-0.6,500,2.8,1,2,20
18.8193963655918,24.6630892501012,9017.60959032118,9844.94713186608,0.345869913087309,11.3080068702944,-0.3,500,2.8,1,2,20
21.1688704575542,25.9445280231201,8197.13680398547,6922.81936772657,0.157842001503099,15.3696519217353,0,500,2.8,1,2,20
23.6693678931502,31.3582245674297,18834.7297460192,9508.91805149996,0.0167063416339454,27.5303815346303,0.3,500,2.8,1,2,20
17.7891319803261,24.1771204804911,2343.70934250284,2944.20349686203,-0.177054439882051,18.7034305221173,0.6,500,2.8,1,2,20
37.9331462316617,33.1964718055629,15615.9156381303,14391.8997934075,-0.254113612852503,23.5472279741742,0.9,500,2.8,1,2,20
21.4076397703917,20.3737327023791,6985.93799638612,6199.06614262223,0.143856303349541,6.14437688963868,-0.9,500,2.9,1,2,20
7.05256843437145,33.5591266078949,800.802973892533,1705.21657698884,0.329514391127291,11.280871973043,-0.6,500,2.9,1,2,20
198.571839758509,47.3871594566062,1132527.49277709,97463.0065543762,0.325025802256808,19.2883022808227,-0.3,500,2.9,1,2,20
18.3953831759003,28.3172441469935,7845.87146075563,8405.26950058482,0.190476473874896,17.396571632468,0,500,2.9,1,2,20
82.7900845495248,43.1056286922739,83659.9152092671,32020.0361394131,0.040338033489459,35.1487694978247,0.3,500,2.9,1,2,20
12.4193888567059,30.3816056929959,1608.15022286779,3079.30267843102,-0.176834835741374,19.8817434983723,0.6,500,2.9,1,2,20
51.8075213188825,27.7236469031334,58841.0578686674,38406.7803752102,-0.23945804591217,17.5725170503542,0.9,500,2.9,1,2,20
40.0765227569104,13.279850490994,11226.0013304961,9481.73456158387,0.0258866960252008,2.36666231439572,-0.9,500,2.8,0.0625,2,20
1.30601391478635,13.7132002822744,0.0916334059200106,2.34118404733852,0.129154135032042,8.38324351048553,-0.6,500,2.8,0.0625,2,20
1.22286072140427,14.9404998268477,0.166382481484874,5.66114928942521,0.0628979941695896,9.40443990852438,-0.3,500,2.8,0.0625,2,20
1.38060321435936,10.8391686229537,0.2919936993281,9.45796789135936,-0.0241623445388228,9.78369574705979,0,500,2.8,0.0625,2,20
8.81187656391394,16.7903146511161,218.088650150598,523.103586572851,-0.134313174552502,10.1877217975712,0.3,500,2.8,0.0625,2,20
1.22079855984963,10.7533541082344,0.110941634689609,2.0062216371256,-0.215337633077587,3.8710619235341,0.6,500,2.8,0.0625,2,20
1.55398324655683,13.4081089195621,0.818334564878046,14.9151875927115,-0.160848012899918,4.92200356033682,0.9,500,2.8,0.0625,2,20
1.86542200175406,17.4843738710623,0.0924153036014082,1.95143022808907,0.027486376607564,0.975648904247648,-0.9,500,2.9,0.0625,2,20
1.19910461248452,13.6850198029378,0.12734319613872,4.6198539586999,0.107219812908574,6.02985175688729,-0.6,500,2.9,0.0625,2,20
83.0630302960191,30.6477697793744,12780.3684560852,9858.78473240855,0.121076836738976,17.656830445775,-0.3,500,2.9,0.0625,2,20
3.91326783136828,17.4465189091211,109.054362037238,213.981501599264,-0.00979436595431999,13.9065515348851,0,500,2.9,0.0625,2,20
59.6876002288478,18.0731589994126,16084.7552046547,14556.189055485,-0.149205670952569,16.5554011185002,0.3,500,2.9,0.0625,2,20
40.5256910558087,18.2169440186247,22021.4208233879,12668.0419363921,-0.256333244723003,11.952935870245,0.6,500,2.9,0.0625,2,20
2.10891714064232,23.2116254766684,2.14203432110893,54.5361996974845,-0.150633806862028,8.0871681150143,0.9,500,2.9,0.0625,2,20
0.426589129811108,1.97467350372751,0.355609913002693,2.1568840489029,0.0505414423137135,0.13074336162631,-0.9,500,2.8,1,3,20
0.432165987200667,1.64186602468681,0.404498025086082,2.2692443878603,0.210048275818258,0.497767776159266,-0.6,500,2.8,1,3,20
1.96739246768638,3.53420749101201,134.751001938121,336.566726953163,0.186563636722215,2.64478105660924,-0.3,500,2.8,1,3,20
0.550867724187901,1.42303356532818,0.530183658807441,2.15233098029487,0.0926503791670179,0.851521497357012,0,500,2.8,1,3,20
0.531054461292126,1.31717056123656,0.329640514916298,1.61968379597058,-0.0285009869455234,0.883503316746841,0.3,500,2.8,1,3,20
