"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
0.452965175652937,3.14992542892677,1.91664640632737,16.6412715078732,0.0868715507060078,0.282993259740162,-0.9,20,500,1,1,2
0.419713853351152,2.77346793679802,2.21324364232462,19.0497416159391,0.148349613965523,0.481206204398933,-0.8,20,500,1,1,2
0.541034718737107,3.12271822355707,2.63134249841921,23.1679513006015,0.187366242254375,0.664080312303969,-0.7,20,500,1,1,2
0.365760028395263,2.17460612438749,2.08071528895866,17.7479087176138,0.186169512889142,0.800840834897964,-0.6,20,500,1,1,2
0.402479819273238,2.13826457541974,2.0665407834103,16.5806400604998,0.229371867844051,1.19242454857509,-0.5,20,500,1,1,2
0.256065530470381,1.57502201416677,1.39851642590651,12.4286855663696,0.231866850607155,1.03909772811632,-0.4,20,500,1,1,2
0.483883912693303,3.5389656436925,9.02999350795008,185.309832246415,0.301229181729918,1.34725783218961,-0.3,20,500,1,1,2
0.37544268299384,1.71656977935815,2.26496777949948,21.5777801467961,0.199079401430989,1.28339088555929,-0.2,20,500,1,1,2
0.429464729706047,2.45618586732374,3.31802049660294,40.6540811303853,0.201963606933536,1.47230950296504,-0.1,20,500,1,1,2
0.296452348181289,1.50707118838259,2.79359980230644,26.3104295623628,0.148455236204782,1.48433996805092,0,20,500,1,1,2
0.431716503892336,2.49987221938029,4.53116293631861,83.4467360041735,0.0801914893288452,1.56651947908087,0.1,20,500,1,1,2
2.87959351685986,3.65281015676263,3810.48225728311,4218.91178897154,0.0549659119682734,2.77982992339098,0.2,20,500,1,1,2
0.264712491351528,1.07541531108202,0.76853766475849,3.71880138417891,0.00146416412855662,1.69307554501216,0.3,20,500,1,1,2
0.244033211708863,1.15499223747573,1.23782226818765,11.0666535317349,-0.057183408668653,1.82628821972813,0.4,20,500,1,1,2
0.309958943127035,1.22874584975556,0.98837485221831,5.64566218681602,-0.132450487521158,1.73057495586042,0.5,20,500,1,1,2
0.297312696934054,1.33740708506811,1.1985296525653,9.04373716801128,-0.145192006131712,1.6036871200234,0.6,20,500,1,1,2
0.289312020249001,1.08103070929259,0.963817546574154,4.93303765738332,-0.218048548544655,1.59878802005723,0.7,20,500,1,1,2
0.370698756405139,1.24517761747163,1.45933238454713,8.23512431033513,-0.247627203253391,1.62962472100786,0.8,20,500,1,1,2
0.264124352662792,1.17935729869538,1.01808596562865,8.2867875918537,-0.225014155771173,1.10500097763982,0.9,20,500,1,1,2
0.281069833853191,1.53700395069125,1.13019204215079,6.4502295340929,0.0455562371500453,0.16822201104826,-0.9,30,500,1,1,2
0.329189602039299,1.42284247142165,1.50201361493422,7.75100230679891,0.0876219596091278,0.286018763453898,-0.8,30,500,1,1,2
0.199133630159813,0.963792120140063,0.774642740564055,4.18964640396455,0.104996234487541,0.395242915942536,-0.7,30,500,1,1,2
0.255041357026696,1.05090085449121,1.20191507237158,6.04806099745277,0.160134829331759,0.503838397108828,-0.6,30,500,1,1,2
0.226733114523944,0.962611119274476,0.928814411305016,5.08061149182884,0.168580228727894,0.557737712163461,-0.5,30,500,1,1,2
0.179577769952892,0.907466772972021,0.957024661702925,5.75737371250743,0.185962763627156,0.656233217585229,-0.4,30,500,1,1,2
0.190058624143923,0.724389885763566,0.652880598919347,2.50507968628081,0.161731834992492,0.732665963075626,-0.3,30,500,1,1,2
0.125919285876613,0.596599836016368,0.253359535653981,1.35207669693731,0.233473348380258,0.804886770877992,-0.2,30,500,1,1,2
0.206460882250396,0.797968879198572,0.732207756535243,4.38811313284348,0.139275175901066,0.84622964683248,-0.1,30,500,1,1,2
0.184271344598647,0.644186388826196,0.516068911898411,1.80796125238049,0.125177101326393,0.938835837760377,0,30,500,1,1,2
0.142185369006782,0.586505755994545,0.350744554582895,1.42368887111323,0.0487394498563517,0.930827043830844,0.1,30,500,1,1,2
0.143019808349412,0.582978675511683,0.39231826503434,1.4445930791316,0.0136965868129174,0.972459563645204,0.2,30,500,1,1,2
0.170614289433942,0.566443655822391,0.286929252490544,1.31404861506822,0.0412189143302141,1.01132618129428,0.3,30,500,1,1,2
0.160098789081087,0.571849861475303,0.3590066911526,1.37429740837449,-0.0461471743141917,0.982273639229538,0.4,30,500,1,1,2
0.176173432283916,0.583478132039447,0.436930146216099,1.49708944997431,-0.0914134064547485,0.96379208115805,0.5,30,500,1,1,2
0.181189543900721,0.564229049596537,0.358300628793587,1.31150874213818,-0.138936649290827,0.91082165977636,0.6,30,500,1,1,2
0.193200802802355,0.586406643287912,0.401831893585074,1.45609790516888,-0.184733954045749,0.894733376761203,0.7,30,500,1,1,2
0.218230361598632,0.646875585919026,0.706443674729931,2.98140009588194,-0.197785256505529,0.784948171646166,0.8,30,500,1,1,2
0.119899359009375,0.569097655017883,0.443920750161632,1.55304784650412,-0.175883593301353,0.571042513025898,0.9,30,500,1,1,2
