"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"beta",500,456,0.912,0.59128662997874,1,1.40871337002126,0.05,90,2,-0.4,1,1
"omega",500,439,0.878,0.279605252840154,1,1.72039474715985,0.05,90,2,-0.4,1,1
"rho",500,456,0.912,-0.859586204797031,-0.4,0.0595862047970305,0.05,90,2,-0.4,1,1
"beta",500,455,0.91,0.589167677506179,1,1.41083232249382,0.05,90,2,-0.3,1,1
"omega",500,461,0.922,0.262935685995412,1,1.73706431400459,0.05,90,2,-0.3,1,1
"rho",500,445,0.89,-0.815598713378982,-0.3,0.215598713378982,0.05,90,2,-0.3,1,1
"beta",500,464,0.928,0.599674818045593,1,1.40032518195441,0.05,90,2,-0.2,1,1
"omega",500,453,0.906,0.312790409310435,1,1.68720959068956,0.05,90,2,-0.2,1,1
"rho",500,471,0.942,-0.785966174410532,-0.2,0.385966174410532,0.05,90,2,-0.2,1,1
"beta",500,467,0.937751004016064,0.613219579112506,1,1.38678042088749,0.05,90,2,-0.1,1,1
"omega",500,455,0.913654618473896,0.34016693884378,1,1.65983306115622,0.05,90,2,-0.1,1,1
"rho",500,468,0.939759036144578,-0.748247169062231,-0.1,0.548247169062231,0.05,90,2,-0.1,1,1
"beta",500,469,0.938,0.602194283162017,1,1.39780571683798,0.05,90,2,0,1,1
"omega",500,467,0.934,0.297859834481935,1,1.70214016551807,0.05,90,2,0,1,1
"rho",500,481,0.962,-0.713657640083049,0,0.713657640083049,0.05,90,2,0,1,1
"beta",500,461,0.922,0.620924549819043,1,1.37907545018096,0.05,90,2,0.1,1,1
"omega",500,457,0.914,0.32988566444142,1,1.67011433555858,0.05,90,2,0.1,1,1
"rho",500,488,0.976,-0.628196368163736,0.1,0.828196368163736,0.05,90,2,0.1,1,1
"beta",500,472,0.944,0.642826828716062,1,1.35717317128394,0.05,90,2,0.2,1,1
"omega",500,463,0.926,0.343407447321403,1,1.6565925526786,0.05,90,2,0.2,1,1
"rho",500,500,1,-0.613506176348928,0.2,1.01350617634893,0.05,90,2,0.2,1,1
"beta",500,457,0.914,0.651565618542755,1,1.34843438145725,0.05,90,2,0.3,1,1
"omega",500,462,0.924,0.384305615377509,1,1.61569438462249,0.05,90,2,0.3,1,1
"rho",500,499,0.998,-0.518185460329535,0.3,1.11818546032953,0.05,90,2,0.3,1,1
"beta",500,458,0.916,0.636668651768336,1,1.36333134823166,0.05,90,2,0.4,1,1
"omega",500,453,0.906,0.325883736602979,1,1.67411626339702,0.05,90,2,0.4,1,1
"rho",500,494,0.988,-0.405177794673863,0.4,1.20517779467386,0.05,90,2,0.4,1,1
"beta",500,448,0.896,0.663045194878166,1,1.33695480512183,0.05,90,2,0.5,1,1
"omega",500,449,0.898,0.41686066512214,1,1.58313933487786,0.05,90,2,0.5,1,1
"rho",500,479,0.958,-0.169109869011287,0.5,1.16910986901129,0.05,90,2,0.5,1,1
"beta",500,457,0.914,0.661655214243911,1,1.33834478575609,0.05,90,2,0.6,1,1
"omega",500,448,0.896,0.396224846533332,1,1.60377515346667,0.05,90,2,0.6,1,1
"rho",500,458,0.916,0.0674705523093231,0.6,1.13252944769068,0.05,90,2,0.6,1,1
"beta",500,440,0.88,0.658718156152871,1,1.34128184384713,0.05,90,2,0.7,1,1
"omega",500,446,0.892,0.40337954518146,1,1.59662045481854,0.05,90,2,0.7,1,1
"rho",500,447,0.894,0.237538770766579,0.7,1.16246122923342,0.05,90,2,0.7,1,1
"beta",500,469,0.938,0.647870277421392,1,1.35212972257861,0.05,90,2,0.8,1,1
"omega",500,444,0.888,0.394385936396008,1,1.60561406360399,0.05,90,2,0.8,1,1
"rho",500,410,0.82,0.543622983291306,0.8,1.05637701670869,0.05,90,2,0.8,1,1
"beta",500,458,0.916,0.630459003864344,1,1.36954099613566,0.05,90,2,0.9,1,1
"omega",500,447,0.894,0.300485338685444,1,1.69951466131456,0.05,90,2,0.9,1,1
"rho",500,426,0.852,0.780578563753813,0.9,1.01942143624619,0.05,90,2,0.9,1,1
"beta",500,449,0.901606425702811,0.368864005960549,1,1.63113599403945,0.05,100,2,-0.9,1,1
"omega",500,439,0.881526104417671,-0.177793671040899,1,2.1777936710409,0.05,100,2,-0.9,1,1
"rho",500,467,0.937751004016064,-1.00767994238169,-0.9,-0.792320057618308,0.05,100,2,-0.9,1,1
"beta",500,441,0.88376753507014,0.522926863338039,1,1.47707313666196,0.05,100,2,-0.8,1,1
"omega",500,432,0.865731462925852,0.205140338432163,1,1.79485966156784,0.05,100,2,-0.8,1,1
"rho",500,455,0.911823647294589,-0.985338176199127,-0.8,-0.614661823800874,0.05,100,2,-0.8,1,1
"beta",500,452,0.904,0.523661120752797,1,1.4763388792472,0.05,100,2,-0.7,1,1
"omega",500,434,0.868,0.153648304104533,1,1.84635169589547,0.05,100,2,-0.7,1,1
"rho",500,466,0.932,-0.939167432055545,-0.7,-0.460832567944455,0.05,100,2,-0.7,1,1
"beta",500,461,0.923847695390782,0.567677295750352,1,1.43232270424965,0.05,100,2,-0.6,1,1
"omega",500,447,0.895791583166333,0.249858824651432,1,1.75014117534857,0.05,100,2,-0.6,1,1
"rho",500,456,0.913827655310621,-0.905895562835843,-0.6,-0.294104437164157,0.05,100,2,-0.6,1,1
"beta",500,472,0.944,0.577148397430815,1,1.42285160256919,0.05,100,2,-0.5,1,1
"omega",500,463,0.926,0.246316350122549,1,1.75368364987745,0.05,100,2,-0.5,1,1
"rho",500,449,0.898,-0.855308251350295,-0.5,-0.144691748649705,0.05,100,2,-0.5,1,1
"beta",500,470,0.94188376753507,0.612260452170891,1,1.38773954782911,0.05,100,2,-0.4,1,1
"omega",500,456,0.913827655310621,0.316573535366131,1,1.68342646463387,0.05,100,2,-0.4,1,1
"rho",500,445,0.891783567134269,-0.836001756505366,-0.4,0.0360017565053658,0.05,100,2,-0.4,1,1
"beta",500,472,0.944,0.610250237350809,1,1.38974976264919,0.05,100,2,-0.3,1,1
"omega",500,462,0.924,0.300759395714788,1,1.69924060428521,0.05,100,2,-0.3,1,1
"rho",500,465,0.93,-0.789139887878974,-0.3,0.189139887878974,0.05,100,2,-0.3,1,1
"beta",500,463,0.927855711422846,0.620218186090821,1,1.37978181390918,0.05,100,2,-0.2,1,1
"omega",500,446,0.893787575150301,0.34805573905268,1,1.65194426094732,0.05,100,2,-0.2,1,1
"rho",500,466,0.933867735470942,-0.755896322885826,-0.2,0.355896322885826,0.05,100,2,-0.2,1,1
"beta",500,471,0.942,0.633067874691087,1,1.36693212530891,0.05,100,2,-0.1,1,1
"omega",500,457,0.914,0.374027395379551,1,1.62597260462045,0.05,100,2,-0.1,1,1
"rho",500,472,0.944,-0.714981262297867,-0.1,0.514981262297867,0.05,100,2,-0.1,1,1
"beta",500,488,0.976,0.622608360566793,1,1.37739163943321,0.05,100,2,0,1,1
"omega",500,466,0.932,0.333891352082588,1,1.66610864791741,0.05,100,2,0,1,1
"rho",500,473,0.946,-0.677035083672934,0,0.677035083672934,0.05,100,2,0,1,1
"beta",500,473,0.947895791583166,0.640377451712347,1,1.35962254828765,0.05,100,2,0.1,1,1
"omega",500,460,0.92184368737475,0.364273722071358,1,1.63572627792864,0.05,100,2,0.1,1,1
"rho",500,492,0.985971943887776,-0.59082773217798,0.1,0.79082773217798,0.05,100,2,0.1,1,1
"beta",500,455,0.91,0.661155777891193,1,1.33884422210881,0.05,100,2,0.2,1,1
"omega",500,455,0.91,0.377101611649463,1,1.62289838835054,0.05,100,2,0.2,1,1
"rho",500,499,0.998,-0.571759722363164,0.2,0.971759722363164,0.05,100,2,0.2,1,1
"beta",500,459,0.918,0.66944612184495,1,1.33055387815505,0.05,100,2,0.3,1,1
"omega",500,462,0.924,0.415901020605153,1,1.58409897939485,0.05,100,2,0.3,1,1
"rho",500,498,0.996,-0.476198880922401,0.3,1.0761988809224,0.05,100,2,0.3,1,1
"beta",500,457,0.914,0.655313618274446,1,1.34468638172555,0.05,100,2,0.4,1,1
"omega",500,456,0.912,0.360477159971025,1,1.63952284002898,0.05,100,2,0.4,1,1
"rho",500,499,0.998,-0.36385872576824,0.4,1.16385872576824,0.05,100,2,0.4,1,1
"beta",500,459,0.918,0.68033660418305,1,1.31966339581695,0.05,100,2,0.5,1,1
"omega",500,450,0.9,0.446785452565089,1,1.55321454743491,0.05,100,2,0.5,1,1
"rho",500,483,0.966,-0.134773357291775,0.5,1.13477335729177,0.05,100,2,0.5,1,1
"beta",500,453,0.906,0.679017952770719,1,1.32098204722928,0.05,100,2,0.6,1,1
"omega",500,440,0.88,0.427208596128286,1,1.57279140387171,0.05,100,2,0.6,1,1
"rho",500,443,0.886,0.0947982072557899,0.6,1.10520179274421,0.05,100,2,0.6,1,1
"beta",500,464,0.928,0.676231614814345,1,1.32376838518565,0.05,100,2,0.7,1,1
"omega",500,452,0.904,0.43399613923835,1,1.56600386076165,0.05,100,2,0.7,1,1
"rho",500,446,0.892,0.261270755830344,0.7,1.13872924416966,0.05,100,2,0.7,1,1
"beta",500,473,0.946,0.665940413442513,1,1.33405958655749,0.05,100,2,0.8,1,1
"omega",500,449,0.898,0.425464052794392,1,1.57453594720561,0.05,100,2,0.8,1,1
"rho",500,427,0.854,0.556779406244444,0.8,1.04322059375556,0.05,100,2,0.8,1,1
"beta",500,453,0.906,0.649422629021154,1,1.35057737097885,0.05,100,2,0.9,1,1
"omega",500,458,0.916,0.336382124069419,1,1.66361787593058,0.05,100,2,0.9,1,1
"rho",500,430,0.86,0.786706878004038,0.9,1.01329312199596,0.05,100,2,0.9,1,1
"beta",500,465,0.933734939759036,0.435494805712354,1,1.56450519428765,0.05,125,2,-0.9,1,1
"omega",500,455,0.913654618473896,-0.0534506847665905,1,2.05345068476659,0.05,125,2,-0.9,1,1
"rho",500,465,0.933734939759036,-0.996311868391489,-0.9,-0.803688131608511,0.05,125,2,-0.9,1,1
"beta",500,435,0.87,0.573292814473923,1,1.42670718552608,0.05,125,2,-0.8,1,1
"omega",500,434,0.868,0.289055905664735,1,1.71094409433526,0.05,125,2,-0.8,1,1
"rho",500,463,0.926,-0.965771504322832,-0.8,-0.634228495677168,0.05,125,2,-0.8,1,1
"beta",500,459,0.918,0.573949554270876,1,1.42605044572912,0.05,125,2,-0.7,1,1
"omega",500,454,0.908,0.243000030042202,1,1.7569999699578,0.05,125,2,-0.7,1,1
"rho",500,457,0.914,-0.913917854432104,-0.7,-0.486082145567896,0.05,125,2,-0.7,1,1
"beta",500,469,0.938,0.6133188180325,1,1.3866811819675,0.05,125,2,-0.6,1,1
"omega",500,460,0.92,0.329053335679605,1,1.67094666432039,0.05,125,2,-0.6,1,1
"rho",500,465,0.93,-0.873601309006601,-0.6,-0.326398690993399,0.05,125,2,-0.6,1,1
"beta",500,465,0.93,0.621790028904231,1,1.37820997109577,0.05,125,2,-0.5,1,1
"omega",500,456,0.912,0.325884850137547,1,1.67411514986245,0.05,125,2,-0.5,1,1
"rho",500,455,0.91,-0.817797361194337,-0.5,-0.182202638805663,0.05,125,2,-0.5,1,1
"beta",500,467,0.935871743486974,0.653195205395632,1,1.34680479460437,0.05,125,2,-0.4,1,1
"omega",500,460,0.92184368737475,0.388724786982525,1,1.61127521301747,0.05,125,2,-0.4,1,1
"rho",500,455,0.911823647294589,-0.789971826342124,-0.4,-0.0100281736578764,0.05,125,2,-0.4,1,1
"beta",500,461,0.923847695390782,0.6513972146008,1,1.3486027853992,0.05,125,2,-0.3,1,1
"omega",500,465,0.93186372745491,0.374580190476094,1,1.62541980952391,0.05,125,2,-0.3,1,1
"rho",500,458,0.917835671342685,-0.737500015921605,-0.3,0.137500015921604,0.05,125,2,-0.3,1,1
"beta",500,466,0.932,0.66031281899236,1,1.33968718100764,0.05,125,2,-0.2,1,1
"omega",500,457,0.914,0.416883325992372,1,1.58311667400763,0.05,125,2,-0.2,1,1
"rho",500,470,0.94,-0.697208786565952,-0.2,0.297208786565952,0.05,125,2,-0.2,1,1
"beta",500,471,0.942,0.67180592987232,1,1.32819407012768,0.05,125,2,-0.1,1,1
"omega",500,455,0.91,0.440113081606431,1,1.55988691839357,0.05,125,2,-0.1,1,1
"rho",500,463,0.926,-0.650055962954663,-0.1,0.450055962954663,0.05,125,2,-0.1,1,1
"beta",500,463,0.926,0.662450656034904,1,1.3375493439651,0.05,125,2,0,1,1
"omega",500,466,0.932,0.404214313142477,1,1.59578568685752,0.05,125,2,0,1,1
"rho",500,472,0.944,-0.605558588097975,0,0.605558588097975,0.05,125,2,0,1,1
"beta",500,468,0.936,0.678343814314843,1,1.32165618568516,0.05,125,2,0.1,1,1
"omega",500,456,0.912,0.431389130987453,1,1.56861086901255,0.05,125,2,0.1,1,1
"rho",500,482,0.964,-0.517895107956792,0.1,0.717895107956792,0.05,125,2,0.1,1,1
"beta",500,459,0.918,0.696928514232668,1,1.30307148576733,0.05,125,2,0.2,1,1
"omega",500,456,0.912,0.442862744229255,1,1.55713725577075,0.05,125,2,0.2,1,1
"rho",500,497,0.994,-0.490282880600159,0.2,0.890282880600159,0.05,125,2,0.2,1,1
"beta",500,456,0.912,0.70434362328765,1,1.29565637671235,0.05,125,2,0.3,1,1
"omega",500,453,0.906,0.47756599059395,1,1.52243400940605,0.05,125,2,0.3,1,1
"rho",500,494,0.988,-0.394253384720701,0.3,0.994253384720701,0.05,125,2,0.3,1,1
"beta",500,469,0.938,0.691703127817288,1,1.30829687218271,0.05,125,2,0.4,1,1
"omega",500,460,0.92,0.427993382612595,1,1.5720066173874,0.05,125,2,0.4,1,1
"rho",500,498,0.996,-0.283216014409662,0.4,1.08321601440966,0.05,125,2,0.4,1,1
"beta",500,472,0.944,0.714084366813951,1,1.28591563318605,0.05,125,2,0.5,1,1
"omega",500,450,0.9,0.505189866317503,1,1.4948101336825,0.05,125,2,0.5,1,1
"rho",500,488,0.976,-0.0677585508840681,0.5,1.06775855088407,0.05,125,2,0.5,1,1
"beta",500,451,0.902,0.712904929135312,1,1.28709507086469,0.05,125,2,0.6,1,1
"omega",500,446,0.892,0.487679793606124,1,1.51232020639388,0.05,125,2,0.6,1,1
"rho",500,449,0.898,0.148133779627675,0.6,1.05186622037233,0.05,125,2,0.6,1,1
"beta",500,469,0.938,0.710412752703816,1,1.28958724729618,0.05,125,2,0.7,1,1
"omega",500,451,0.902,0.49375075672385,1,1.50624924327615,0.05,125,2,0.7,1,1
"rho",500,454,0.908,0.307588634527818,0.7,1.09241136547218,0.05,125,2,0.7,1,1
"beta",500,465,0.93,0.701208022368794,1,1.29879197763121,0.05,125,2,0.8,1,1
"omega",500,459,0.918,0.486119426612412,1,1.51388057338759,0.05,125,2,0.8,1,1
"rho",500,429,0.858,0.582456887533887,0.8,1.01754311246611,0.05,125,2,0.8,1,1
"beta",500,458,0.916,0.686434066847255,1,1.31356593315274,0.05,125,2,0.9,1,1
"omega",500,449,0.898,0.40644212733408,1,1.59355787266592,0.05,125,2,0.9,1,1
"rho",500,444,0.888,0.798667551133541,0.9,1.00133244886646,0.05,125,2,0.9,1,1
"beta",500,460,0.92,0.484679618766367,1,1.51532038123363,0.05,150,2,-0.9,1,1
"omega",500,444,0.888,0.0383354945567909,1,1.96166450544321,0.05,150,2,-0.9,1,1
"rho",500,469,0.938,-0.987920304789146,-0.9,-0.812079695210854,0.05,150,2,-0.9,1,1
"beta",500,463,0.926,0.610471415063043,1,1.38952858493696,0.05,150,2,-0.8,1,1
"omega",500,429,0.858,0.350999804012491,1,1.64900019598751,0.05,150,2,-0.8,1,1
"rho",500,474,0.948,-0.951327987181967,-0.8,-0.648672012818033,0.05,150,2,-0.8,1,1
"beta",500,466,0.932,0.611070933731714,1,1.38892906626829,0.05,150,2,-0.7,1,1
"omega",500,450,0.9,0.308956734038968,1,1.69104326596103,0.05,150,2,-0.7,1,1
"rho",500,465,0.93,-0.895279390542617,-0.7,-0.504720609457383,0.05,150,2,-0.7,1,1
"beta",500,465,0.93,0.647009990122734,1,1.35299000987727,0.05,150,2,-0.6,1,1
"omega",500,474,0.948,0.387512295114788,1,1.61248770488521,0.05,150,2,-0.6,1,1
"rho",500,460,0.92,-0.849762681176428,-0.6,-0.350237318823572,0.05,150,2,-0.6,1,1
"beta",500,464,0.928,0.654743112262451,1,1.34525688773755,0.05,150,2,-0.5,1,1
"omega",500,466,0.932,0.384619876773932,1,1.61538012322607,0.05,150,2,-0.5,1,1
"rho",500,463,0.926,-0.790107972402925,-0.5,-0.209892027597075,0.05,150,2,-0.5,1,1
"beta",500,466,0.932,0.68341198490707,1,1.31658801509293,0.05,150,2,-0.4,1,1
"omega",500,464,0.928,0.441984628310923,1,1.55801537168908,0.05,150,2,-0.4,1,1
"rho",500,462,0.924,-0.755993943465114,-0.4,-0.0440060565348859,0.05,150,2,-0.4,1,1
"beta",500,477,0.954,0.681770651379543,1,1.31822934862046,0.05,150,2,-0.3,1,1
"omega",500,467,0.934,0.429072437355288,1,1.57092756264471,0.05,150,2,-0.3,1,1
"rho",500,461,0.922,-0.699381046048554,-0.3,0.0993810460485536,0.05,150,2,-0.3,1,1
"beta",500,474,0.948,0.689909447444625,1,1.31009055255537,0.05,150,2,-0.2,1,1
"omega",500,465,0.93,0.46768973998106,1,1.53231026001894,0.05,150,2,-0.2,1,1
"rho",500,476,0.952,-0.653887446986572,-0.2,0.253887446986572,0.05,150,2,-0.2,1,1
"beta",500,463,0.927855711422846,0.700401174252728,1,1.29959882574727,0.05,150,2,-0.1,1,1
"omega",500,474,0.949899799599198,0.48889550857298,1,1.51110449142702,0.05,150,2,-0.1,1,1
"rho",500,469,0.939879759519038,-0.602130098000825,-0.1,0.402130098000825,0.05,150,2,-0.1,1,1
"beta",500,483,0.966,0.691861016732078,1,1.30813898326792,0.05,150,2,0,1,1
"omega",500,461,0.922,0.456124566449043,1,1.54387543355096,0.05,150,2,0,1,1
"rho",500,467,0.934,-0.552796830987067,0,0.552796830987067,0.05,150,2,0,1,1
"beta",500,482,0.964,0.706369418898615,1,1.29363058110139,0.05,150,2,0.1,1,1
"omega",500,470,0.94,0.480931667665354,1,1.51906833233465,0.05,150,2,0.1,1,1
"rho",500,479,0.958,-0.464058481333375,0.1,0.664058481333375,0.05,150,2,0.1,1,1
"beta",500,457,0.914,0.723334851181044,1,1.27666514881896,0.05,150,2,0.2,1,1
"omega",500,468,0.936,0.491405595646396,1,1.5085944043536,0.05,150,2,0.2,1,1
"rho",500,496,0.992,-0.430139174607254,0.2,0.830139174607254,0.05,150,2,0.2,1,1
"beta",500,445,0.89,0.730103888674001,1,1.269896111326,0.05,150,2,0.3,1,1
"omega",500,453,0.906,0.523085180400733,1,1.47691481959927,0.05,150,2,0.3,1,1
"rho",500,494,0.988,-0.333763732393067,0.3,0.933763732393067,0.05,150,2,0.3,1,1
"beta",500,463,0.926,0.718564747828736,1,1.28143525217126,0.05,150,2,0.4,1,1
"omega",500,473,0.946,0.477831787691153,1,1.52216821230885,0.05,150,2,0.4,1,1
"rho",500,495,0.99,-0.223688037901577,0.4,1.02368803790158,0.05,150,2,0.4,1,1
"beta",500,446,0.892,0.738995930267714,1,1.26100406973229,0.05,150,2,0.5,1,1
"omega",500,443,0.886,0.548302213499916,1,1.45169778650008,0.05,150,2,0.5,1,1
"rho",500,482,0.964,-0.018290275892748,0.5,1.01829027589275,0.05,150,2,0.5,1,1
"beta",500,457,0.914,0.73791925589811,1,1.26208074410189,0.05,150,2,0.6,1,1
"omega",500,452,0.904,0.532317777153953,1,1.46768222284605,0.05,150,2,0.6,1,1
"rho",500,464,0.928,0.187504463545795,0.6,1.0124955364542,0.05,150,2,0.6,1,1
"beta",500,461,0.922,0.735644220483422,1,1.26435577951658,0.05,150,2,0.7,1,1
"omega",500,452,0.904,0.53785978289622,1,1.46214021710378,0.05,150,2,0.7,1,1
"rho",500,445,0.89,0.34177907218247,0.7,1.05822092781753,0.05,150,2,0.7,1,1
"beta",500,466,0.932,0.727241489749682,1,1.27275851025032,0.05,150,2,0.8,1,1
"omega",500,448,0.896,0.530893363486548,1,1.46910663651345,0.05,150,2,0.8,1,1
"rho",500,430,0.86,0.601411216787377,0.8,0.998588783212623,0.05,150,2,0.8,1,1
"beta",500,465,0.93,0.713754775245141,1,1.28624522475486,0.05,150,2,0.9,1,1
"omega",500,458,0.916,0.458158273260161,1,1.54184172673984,0.05,150,2,0.9,1,1
"rho",500,445,0.89,0.80749655324767,0.9,0.99250344675233,0.05,150,2,0.9,1,1
"beta",500,457,0.917670682730924,0.553719458763792,1,1.44628054123621,0.05,200,2,-0.9,1,1
"omega",500,452,0.907630522088353,0.167174108368382,1,1.83282589163162,0.05,200,2,-0.9,1,1
"rho",500,476,0.955823293172691,-0.976141217455871,-0.9,-0.823858782544129,0.05,200,2,-0.9,1,1
"beta",500,454,0.911646586345382,0.662658349944391,1,1.33734165005561,0.05,200,2,-0.8,1,1
"omega",500,440,0.883534136546185,0.437949343213738,1,1.56205065678626,0.05,200,2,-0.8,1,1
"rho",500,465,0.933734939759036,-0.93105388120315,-0.8,-0.668946118796851,0.05,200,2,-0.8,1,1
"beta",500,471,0.943887775551102,0.663177548341502,1,1.3368224516585,0.05,200,2,-0.7,1,1
"omega",500,462,0.925851703406814,0.40153897656358,1,1.59846102343642,0.05,200,2,-0.7,1,1
"rho",500,466,0.933867735470942,-0.869116913045449,-0.7,-0.530883086954551,0.05,200,2,-0.7,1,1
"beta",500,459,0.919839679358717,0.694301684164167,1,1.30569831583583,0.05,200,2,-0.6,1,1
"omega",500,460,0.92184368737475,0.469570088063781,1,1.53042991193622,0.05,200,2,-0.6,1,1
"rho",500,466,0.933867735470942,-0.8163008268161,-0.6,-0.3836991731839,0.05,200,2,-0.6,1,1
"beta",500,470,0.94,0.70099876438773,1,1.29900123561227,0.05,200,2,-0.5,1,1
"omega",500,471,0.942,0.467065180302227,1,1.53293481969777,0.05,200,2,-0.5,1,1
"rho",500,452,0.904,-0.751240873941328,-0.5,-0.248759126058672,0.05,200,2,-0.5,1,1
"beta",500,456,0.912,0.725826736395831,1,1.27417326360417,0.05,200,2,-0.4,1,1
"omega",500,464,0.928,0.516744512415043,1,1.48325548758496,0.05,200,2,-0.4,1,1
"rho",500,469,0.938,-0.70829979863419,-0.4,-0.0917002013658099,0.05,200,2,-0.4,1,1
"beta",500,468,0.936,0.72440529986491,1,1.27559470013509,0.05,200,2,-0.3,1,1
"omega",500,465,0.93,0.505562227028947,1,1.49443777297105,0.05,200,2,-0.3,1,1
"rho",500,456,0.912,-0.64587413166805,-0.3,0.0458741316680501,0.05,200,2,-0.3,1,1
"beta",500,468,0.936,0.731453704013492,1,1.26854629598651,0.05,200,2,-0.2,1,1
"omega",500,461,0.922,0.539005792128498,1,1.4609942078715,0.05,200,2,-0.2,1,1
"rho",500,464,0.928,-0.593078059549234,-0.2,0.193078059549234,0.05,200,2,-0.2,1,1
"beta",500,470,0.94,0.740539805958875,1,1.25946019404112,0.05,200,2,-0.1,1,1
"omega",500,470,0.94,0.557370526435875,1,1.44262947356412,0.05,200,2,-0.1,1,1
"rho",500,475,0.95,-0.534857420873484,-0.1,0.334857420873484,0.05,200,2,-0.1,1,1
"beta",500,467,0.934,0.733143812593671,1,1.26685618740633,0.05,200,2,0,1,1
"omega",500,467,0.934,0.528990058050596,1,1.4710099419494,0.05,200,2,0,1,1
"rho",500,481,0.962,-0.478736098766333,0,0.478736098766333,0.05,200,2,0,1,1
"beta",500,475,0.95,0.745708457438214,1,1.25429154256179,0.05,200,2,0.1,1,1
"omega",500,469,0.938,0.550473637898173,1,1.44952636210183,0.05,200,2,0.1,1,1
"rho",500,479,0.958,-0.388488974054773,0.1,0.588488974054773,0.05,200,2,0.1,1,1
"beta",500,463,0.926,0.760400952780982,1,1.23959904721902,0.05,200,2,0.2,1,1
"omega",500,463,0.926,0.559544325607164,1,1.44045567439284,0.05,200,2,0.2,1,1
"rho",500,493,0.986,-0.34571653312964,0.2,0.74571653312964,0.05,200,2,0.2,1,1
"beta",500,460,0.92,0.766263111209052,1,1.23373688879095,0.05,200,2,0.3,1,1
"omega",500,461,0.922,0.586979650785763,1,1.41302034921424,0.05,200,2,0.3,1,1
"rho",500,494,0.988,-0.248855492249639,0.3,0.848855492249639,0.05,200,2,0.3,1,1
"beta",500,477,0.954,0.756269922099206,1,1.24373007790079,0.05,200,2,0.4,1,1
"omega",500,478,0.956,0.547789063091832,1,1.45221093690817,0.05,200,2,0.4,1,1
"rho",500,494,0.988,-0.140129684859238,0.4,0.940129684859238,0.05,200,2,0.4,1,1
"beta",500,460,0.92,0.773963845120715,1,1.22603615487928,0.05,200,2,0.5,1,1
"omega",500,458,0.916,0.608818242057727,1,1.39118175794227,0.05,200,2,0.5,1,1
"rho",500,475,0.95,0.0511474545424348,0.5,0.948852545457565,0.05,200,2,0.5,1,1
"beta",500,461,0.922,0.773031417765035,1,1.22696858223497,0.05,200,2,0.6,1,1
"omega",500,461,0.922,0.594975314116948,1,1.40502468588305,0.05,200,2,0.6,1,1
"rho",500,464,0.928,0.242768386482968,0.6,0.957231613517032,0.05,200,2,0.6,1,1
"beta",500,461,0.922,0.771061179301405,1,1.22893882069859,0.05,200,2,0.7,1,1
"omega",500,454,0.908,0.599774831877671,1,1.40022516812233,0.05,200,2,0.7,1,1
"rho",500,453,0.906,0.389771576342787,0.7,1.01022842365721,0.05,200,2,0.7,1,1
"beta",500,469,0.938,0.763784201024827,1,1.23621579897517,0.05,200,2,0.8,1,1
"omega",500,451,0.902,0.593741735695478,1,1.40625826430452,0.05,200,2,0.8,1,1
"rho",500,443,0.886,0.628017068831228,0.8,0.971982931168772,0.05,200,2,0.8,1,1
"beta",500,471,0.943887775551102,0.752104363650306,1,1.24789563634969,0.05,200,2,0.9,1,1
"omega",500,463,0.927855711422846,0.530751299812873,1,1.46924870018713,0.05,200,2,0.9,1,1
"rho",500,467,0.935871743486974,0.819889665174861,0.9,0.980110334825139,0.05,200,2,0.9,1,1
"beta",500,471,0.947686116700201,0.635613463946061,1,1.36438653605394,0.05,300,2,-0.9,1,1
"omega",500,464,0.933601609657948,0.320000506974699,1,1.6799994930253,0.05,300,2,-0.9,1,1
"rho",500,474,0.953722334004024,-0.962169043720393,-0.9,-0.837830956279607,0.05,300,2,-0.9,1,1
"beta",500,454,0.917171717171717,0.724561696125078,1,1.27543830387492,0.05,300,2,-0.8,1,1
"omega",500,438,0.884848484848485,0.541087560425834,1,1.45891243957417,0.05,300,2,-0.8,1,1
"rho",500,476,0.961616161616162,-0.90700504591968,-0.8,-0.69299495408032,0.05,300,2,-0.8,1,1
"beta",500,470,0.94,0.724985619841143,1,1.27501438015886,0.05,300,2,-0.7,1,1
"omega",500,470,0.94,0.511358620545656,1,1.48864137945434,0.05,300,2,-0.7,1,1
"rho",500,464,0.928,-0.83808338127866,-0.7,-0.561916618721339,0.05,300,2,-0.7,1,1
"beta",500,466,0.932,0.750398370324678,1,1.24960162967532,0.05,300,2,-0.6,1,1
"omega",500,474,0.948,0.566905790482282,1,1.43309420951772,0.05,300,2,-0.6,1,1
"rho",500,469,0.938,-0.776608885547186,-0.6,-0.423391114452814,0.05,300,2,-0.6,1,1
"beta",500,473,0.946,0.755866513429416,1,1.24413348657058,0.05,300,2,-0.5,1,1
"omega",500,470,0.94,0.564860541859434,1,1.43513945814057,0.05,300,2,-0.5,1,1
"rho",500,472,0.944,-0.705137314562388,-0.5,-0.294862685437612,0.05,300,2,-0.5,1,1
"beta",500,473,0.946,0.7761384676854,1,1.2238615323146,0.05,300,2,-0.4,1,1
"omega",500,460,0.92,0.605423546672322,1,1.39457645332768,0.05,300,2,-0.4,1,1
"rho",500,468,0.936,-0.651725731485523,-0.4,-0.148274268514477,0.05,300,2,-0.4,1,1
