"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"rho",500,322,0.644,0.711909402515656,0.9,1.08809059748434,0.05,20,3,0.9,1,1
"beta",500,449,0.899799599198397,0.367730586959615,1,1.63226941304038,0.05,30,3,-0.9,1,1
"omega",500,432,0.865731462925852,0.0594781857746374,1,1.94052181422536,0.05,30,3,-0.9,1,1
"rho",500,459,0.919839679358717,-0.992524567954706,-0.9,-0.807475432045294,0.05,30,3,-0.9,1,1
"beta",500,467,0.934,0.396360594885744,1,1.60363940511426,0.05,30,3,-0.8,1,1
"omega",500,456,0.912,0.0629186970920638,1,1.93708130290794,0.05,30,3,-0.8,1,1
"rho",500,450,0.9,-0.976320251610409,-0.8,-0.623679748389591,0.05,30,3,-0.8,1,1
"beta",500,453,0.906,0.402775103267357,1,1.59722489673264,0.05,30,3,-0.7,1,1
"omega",500,450,0.9,0.0956693027354671,1,1.90433069726453,0.05,30,3,-0.7,1,1
"rho",500,433,0.866,-0.940700056525906,-0.7,-0.459299943474094,0.05,30,3,-0.7,1,1
"beta",500,442,0.884,0.433990877024054,1,1.56600912297595,0.05,30,3,-0.6,1,1
"omega",500,448,0.896,0.143542811866277,1,1.85645718813372,0.05,30,3,-0.6,1,1
"rho",500,440,0.88,-0.933587469812647,-0.6,-0.266412530187353,0.05,30,3,-0.6,1,1
"beta",500,467,0.939637826961771,0.435612172142253,1,1.56438782785775,0.05,30,3,-0.5,1,1
"omega",500,457,0.919517102615694,0.168098032987638,1,1.83190196701236,0.05,30,3,-0.5,1,1
"rho",500,445,0.895372233400402,-0.912994561432209,-0.5,-0.0870054385677912,0.05,30,3,-0.5,1,1
"beta",500,451,0.902,0.436448335226135,1,1.56355166477386,0.05,30,3,-0.4,1,1
"omega",500,447,0.894,0.140827589806895,1,1.8591724101931,0.05,30,3,-0.4,1,1
"rho",500,441,0.882,-0.878074891886959,-0.4,0.0780748918869593,0.05,30,3,-0.4,1,1
"beta",500,465,0.93,0.455472240356237,1,1.54452775964376,0.05,30,3,-0.3,1,1
"omega",500,463,0.926,0.151528184232696,1,1.8484718157673,0.05,30,3,-0.3,1,1
"rho",500,444,0.888,-0.842281321085872,-0.3,0.242281321085872,0.05,30,3,-0.3,1,1
"beta",500,474,0.948,0.459553797602139,1,1.54044620239786,0.05,30,3,-0.2,1,1
"omega",500,468,0.936,0.157358367616827,1,1.84264163238317,0.05,30,3,-0.2,1,1
"rho",500,448,0.896,-0.867914404467085,-0.2,0.467914404467085,0.05,30,3,-0.2,1,1
"beta",500,472,0.944,0.466796974535713,1,1.53320302546429,0.05,30,3,-0.1,1,1
"omega",500,461,0.922,0.156833200080364,1,1.84316679991964,0.05,30,3,-0.1,1,1
"rho",500,465,0.93,-0.843830964153381,-0.1,0.643830964153381,0.05,30,3,-0.1,1,1
"beta",500,453,0.906,0.4637835323896,1,1.5362164676104,0.05,30,3,0,1,1
"omega",500,457,0.914,0.142330151036321,1,1.85766984896368,0.05,30,3,0,1,1
"rho",500,482,0.964,-0.805299875120484,0,0.805299875120484,0.05,30,3,0,1,1
"beta",500,452,0.904,0.469371718819544,1,1.53062828118046,0.05,30,3,0.1,1,1
"omega",500,459,0.918,0.144105391192411,1,1.85589460880759,0.05,30,3,0.1,1,1
"rho",500,500,1,-0.779598025237383,0.1,0.979598025237383,0.05,30,3,0.1,1,1
"beta",500,458,0.916,0.469165203477922,1,1.53083479652208,0.05,30,3,0.2,1,1
"omega",500,463,0.926,0.13052410646962,1,1.86947589353038,0.05,30,3,0.2,1,1
"rho",500,500,1,-0.759333195054329,0.2,1.15933319505433,0.05,30,3,0.2,1,1
"beta",500,462,0.924,0.469275642686434,1,1.53072435731357,0.05,30,3,0.3,1,1
"omega",500,463,0.926,0.115502983993356,1,1.88449701600664,0.05,30,3,0.3,1,1
"rho",500,500,1,-0.678389392871708,0.3,1.27838939287171,0.05,30,3,0.3,1,1
"beta",500,450,0.9,0.49275614917612,1,1.50724385082388,0.05,30,3,0.4,1,1
"omega",500,437,0.874,0.172335209164042,1,1.82766479083596,0.05,30,3,0.4,1,1
"rho",500,497,0.994,-0.594348406808576,0.4,1.39434840680858,0.05,30,3,0.4,1,1
"beta",500,445,0.891783567134269,0.491510564166162,1,1.50848943583384,0.05,30,3,0.5,1,1
"omega",500,452,0.905811623246493,0.172970585929955,1,1.82702941407004,0.05,30,3,0.5,1,1
"rho",500,496,0.993987975951904,-0.445522256716811,0.5,1.44552225671681,0.05,30,3,0.5,1,1
"beta",500,451,0.902,0.491040107176385,1,1.50895989282361,0.05,30,3,0.6,1,1
"omega",500,432,0.864,0.187859018280068,1,1.81214098171993,0.05,30,3,0.6,1,1
"rho",500,470,0.94,-0.149552380384792,0.6,1.34955238038479,0.05,30,3,0.6,1,1
"beta",500,449,0.898,0.474347409730861,1,1.52565259026914,0.05,30,3,0.7,1,1
"omega",500,454,0.908,0.0978409353070601,1,1.90215906469294,0.05,30,3,0.7,1,1
"rho",500,436,0.872,0.14821674691112,0.7,1.25178325308888,0.05,30,3,0.7,1,1
"beta",500,473,0.946,0.467441202145186,1,1.53255879785481,0.05,30,3,0.8,1,1
"omega",500,448,0.896,0.0900598911059241,1,1.90994010889408,0.05,30,3,0.8,1,1
"rho",500,392,0.784,0.42837332333506,0.8,1.17162667666494,0.05,30,3,0.8,1,1
"beta",500,462,0.925851703406814,0.438670370713042,1,1.56132962928696,0.05,30,3,0.9,1,1
"omega",500,446,0.893787575150301,-0.0359665841939807,1,2.03596658419398,0.05,30,3,0.9,1,1
"rho",500,384,0.769539078156313,0.74642467024938,0.9,1.05357532975062,0.05,30,3,0.9,1,1
"beta",500,463,0.927855711422846,0.452438626271151,1,1.54756137372885,0.05,40,3,-0.9,1,1
"omega",500,455,0.911823647294589,0.185484216067408,1,1.81451578393259,0.05,40,3,-0.9,1,1
"rho",500,454,0.909819639278557,-0.980128626322955,-0.9,-0.819871373677045,0.05,40,3,-0.9,1,1
"beta",500,456,0.91566265060241,0.477232940445728,1,1.52276705955427,0.05,40,3,-0.8,1,1
"omega",500,459,0.921686746987952,0.188463786270307,1,1.81153621372969,0.05,40,3,-0.8,1,1
"rho",500,457,0.917670682730924,-0.952697817096279,-0.8,-0.647302182903722,0.05,40,3,-0.8,1,1
"beta",500,470,0.94188376753507,0.482788067656993,1,1.51721193234301,0.05,40,3,-0.7,1,1
"omega",500,463,0.927855711422846,0.21682664274682,1,1.78317335725318,0.05,40,3,-0.7,1,1
"rho",500,452,0.905811623246493,-0.908452363643785,-0.7,-0.491547636356215,0.05,40,3,-0.7,1,1
"beta",500,460,0.92184368737475,0.509821720729081,1,1.49017827927092,0.05,40,3,-0.6,1,1
"omega",500,459,0.919839679358717,0.258286317822408,1,1.74171368217759,0.05,40,3,-0.6,1,1
"rho",500,449,0.899799599198397,-0.888895223241927,-0.6,-0.311104776758073,0.05,40,3,-0.6,1,1
"beta",500,459,0.918,0.511225803488472,1,1.48877419651153,0.05,40,3,-0.5,1,1
"omega",500,461,0.922,0.27955176310905,1,1.72044823689095,0.05,40,3,-0.5,1,1
"rho",500,437,0.874,-0.857663781825106,-0.5,-0.142336218174894,0.05,40,3,-0.5,1,1
"beta",500,468,0.937875751503006,0.511949941960821,1,1.48805005803918,0.05,40,3,-0.4,1,1
"omega",500,459,0.919839679358717,0.255934866542067,1,1.74406513345793,0.05,40,3,-0.4,1,1
"rho",500,445,0.891783567134269,-0.814025001285606,-0.4,0.0140250012856058,0.05,40,3,-0.4,1,1
"beta",500,475,0.95,0.528425127082675,1,1.47157487291733,0.05,40,3,-0.3,1,1
"omega",500,463,0.926,0.265201853150405,1,1.7347981468496,0.05,40,3,-0.3,1,1
"rho",500,455,0.91,-0.769629400058151,-0.3,0.169629400058151,0.05,40,3,-0.3,1,1
"beta",500,449,0.898,0.531959859344626,1,1.46804014065537,0.05,40,3,-0.2,1,1
"omega",500,464,0.928,0.270250940069784,1,1.72974905993022,0.05,40,3,-0.2,1,1
"rho",500,455,0.91,-0.77843084182205,-0.2,0.37843084182205,0.05,40,3,-0.2,1,1
"beta",500,452,0.905811623246493,0.538232634573206,1,1.46176736542679,0.05,40,3,-0.1,1,1
"omega",500,461,0.923847695390782,0.269796131641965,1,1.73020386835804,0.05,40,3,-0.1,1,1
"rho",500,457,0.915831663326653,-0.7441765110783,-0.1,0.5441765110783,0.05,40,3,-0.1,1,1
"beta",500,465,0.93,0.535622917121838,1,1.46437708287816,0.05,40,3,0,1,1
"omega",500,454,0.908,0.257236122737491,1,1.74276387726251,0.05,40,3,0,1,1
"rho",500,466,0.932,-0.697410149518775,0,0.697410149518775,0.05,40,3,0,1,1
"beta",500,468,0.936,0.540462428531253,1,1.45953757146875,0.05,40,3,0.1,1,1
"omega",500,456,0.912,0.258773525810484,1,1.74122647418952,0.05,40,3,0.1,1,1
"rho",500,493,0.986,-0.6617542349742,0.1,0.8617542349742,0.05,40,3,0.1,1,1
"beta",500,465,0.93,0.540283580999138,1,1.45971641900086,0.05,40,3,0.2,1,1
"omega",500,464,0.928,0.247011788224517,1,1.75298821177548,0.05,40,3,0.2,1,1
"rho",500,500,1,-0.63080691761074,0.2,1.03080691761074,0.05,40,3,0.2,1,1
"beta",500,469,0.938,0.540379224159283,1,1.45962077584072,0.05,40,3,0.3,1,1
"omega",500,469,0.938,0.234003114566715,1,1.76599688543329,0.05,40,3,0.3,1,1
"rho",500,499,0.998,-0.547310069020133,0.3,1.14731006902013,0.05,40,3,0.3,1,1
"beta",500,457,0.914,0.560713939273075,1,1.43928606072692,0.05,40,3,0.4,1,1
