"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","Tfull","N","n_reps","beta_free","omega_var"
0.120746837932496,0.543157519154277,0.331564873485744,1.23142093901734,0.0221066720167892,0.0837071159582409,-0.9,3,20,1000,1,1
0.0630172847066962,0.480177601935687,0.212983952484929,1.00264020756901,0.0550076402003703,0.161827148334908,-0.8,3,20,1000,1,1
0.0637484689907801,0.446260731868122,0.10857503755072,0.809260436434668,0.0995638752339301,0.246855709255725,-0.7,3,20,1000,1,1
0.0476374507406447,0.440277671715673,0.125956772058121,0.816267487891196,0.124962588134026,0.314293796731323,-0.6,3,20,1000,1,1
0.0755493621734628,0.433174283436781,0.152420189508047,0.815579531197709,0.159314717800893,0.383158073174569,-0.5,3,20,1000,1,1
0.0629310443304231,0.418685590381075,0.0978976430812133,0.751875468767305,0.182942145636166,0.449898381167125,-0.4,3,20,1000,1,1
0.0636194018217804,0.419157141549437,0.127404462990687,0.789252056298473,0.163033672699581,0.479397917464807,-0.3,3,20,1000,1,1
0.0984590062236387,0.420541617074909,0.156361592983108,0.798310967685543,0.137428522051258,0.526603743979053,-0.2,3,20,1000,1,1
0.100567496569484,0.421942010703966,0.157617084333984,0.797112203773436,0.103974920463329,0.592399026671023,-0.1,3,20,1000,1,1
0.0655230362546281,0.412135334336052,0.148625064535613,0.792270477911211,0.114973280876239,0.639990638782618,0,3,20,1000,1,1
0.097104829856523,0.415986933458315,0.158805914810374,0.799723427665899,0.0455371985949886,0.650014132428696,0.1,3,20,1000,1,1
0.110054279742112,0.417583692583362,0.157985992355914,0.817670177822877,0.0345234450296218,0.651448460935561,0.2,3,20,1000,1,1
0.126488432305059,0.419650087365711,0.18970713169103,0.829336490414961,-0.0363090819611875,0.656346916038835,0.3,3,20,1000,1,1
0.115589767327623,0.414925814193157,0.158292673754338,0.805903766174359,-0.0743643712790436,0.670173340261453,0.4,3,20,1000,1,1
0.0965771545664279,0.412712775865826,0.152256066961528,0.795290401513983,-0.116642750733345,0.684994235073704,0.5,3,20,1000,1,1
0.121453497616533,0.425611711113598,0.264337551523336,0.912459495471364,-0.155469181441138,0.676229363259733,0.6,3,20,1000,1,1
0.106123819799899,0.413899602812686,0.163646010698949,0.83003223669367,-0.20160678723518,0.616995348468393,0.7,3,20,1000,1,1
0.113887409915068,0.426580594566095,0.253385180427741,0.934801310522788,-0.229736538999498,0.580579748915431,0.8,3,20,1000,1,1
0.0871400388454754,0.431240647221101,0.217447886697081,0.948394005374775,-0.201692518413921,0.395133759080802,0.9,3,20,1000,1,1
0.0512924980422631,0.398512096696977,0.0880060143321434,0.686204437746157,0.019823056194785,0.0616122198429144,-0.9,4,20,1000,1,1
0.0269712029881249,0.373964286700424,0.0852043650501377,0.624061896963066,0.0355575900838292,0.110013550246215,-0.8,4,20,1000,1,1
0.0555125386087867,0.363233340215055,0.0721736845262474,0.60037898437616,0.0609606021167812,0.159512540955146,-0.7,4,20,1000,1,1
0.0376160348354634,0.35556288722908,0.0380747393512891,0.568881643627875,0.072344227573828,0.205684756475209,-0.6,4,20,1000,1,1
0.0396355195659887,0.351162553759817,0.065224302974772,0.588040591104502,0.106178080279131,0.25483301674936,-0.5,4,20,1000,1,1
0.0310126410644298,0.339138640196521,0.010196467885409,0.550184485051592,0.13759147476798,0.297801462686001,-0.4,4,20,1000,1,1
0.0434524215951813,0.343612892615147,0.0588113132658692,0.578161451405662,0.121537928922209,0.333922979789387,-0.3,4,20,1000,1,1
0.0365526589904656,0.336130537475818,0.0268644812972567,0.554856372808931,0.121526071858295,0.360916599467014,-0.2,4,20,1000,1,1
0.0481190035147423,0.339441812155667,0.0793439654942613,0.578859226397896,0.0689101518273771,0.38163229531097,-0.1,4,20,1000,1,1
0.0664669020027823,0.340409685274183,0.0821717119988163,0.587693886741655,0.058020192989481,0.410031396610213,0,4,20,1000,1,1
0.0497962843045139,0.337570153561443,0.0682710511070853,0.582198065067274,0.0314291144769218,0.430637598523879,0.1,4,20,1000,1,1
0.0662746805491164,0.340530728204899,0.0857619840342946,0.592797144872337,0.00655656589725728,0.435365255207213,0.2,4,20,1000,1,1
0.0793503803476922,0.340490234342455,0.0713864801881352,0.589058231873,-0.02634831234934,0.436526288385005,0.3,4,20,1000,1,1
0.0707127562359467,0.333392713987098,0.0481014902032405,0.580843028092333,-0.0588822573432512,0.451938407867208,0.4,4,20,1000,1,1
0.0530075393671859,0.335719979814599,0.0532722950145816,0.588318539088979,-0.0867666032941483,0.435080536727446,0.5,4,20,1000,1,1
0.0659565920786507,0.341468821863715,0.0834243452643334,0.615985468385345,-0.151446939029374,0.442375386189635,0.6,4,20,1000,1,1
0.0500786107050867,0.340838531397831,0.0822272488618953,0.622784523968994,-0.19582398045047,0.420637846020374,0.7,4,20,1000,1,1
0.0469746963946546,0.337830625152478,0.0484663457062661,0.621001016629026,-0.201183449666843,0.365206768677735,0.8,4,20,1000,1,1
0.0371178861093466,0.353975231471315,0.107363779651681,0.717235713057235,-0.170305319696038,0.252558562885964,0.9,4,20,1000,1,1
0.0565093857797715,0.390571427464221,0.0921667037412229,0.671511775543854,0.0154005974117858,0.0627997747763503,-0.9,3,30,1000,1,1
0.0321301525358558,0.360334102393565,0.0715043254796202,0.61018768333468,0.035246085412585,0.121470314392998,-0.8,3,30,1000,1,1
0.0487449700152375,0.34595886248196,0.0971691650152775,0.599956263449786,0.063051851326202,0.177585909665903,-0.7,3,30,1000,1,1
0.0555720967671993,0.338041282753258,0.0809279153642013,0.575803064362446,0.0815545486025754,0.231834623171035,-0.6,3,30,1000,1,1
0.0537832070211924,0.334844580921638,0.0983116088679999,0.585075489150508,0.0788577896482214,0.27591164969465,-0.5,3,30,1000,1,1
0.0606291459290524,0.328255889691452,0.105145108727935,0.572914880254168,0.10926851062472,0.323324486617921,-0.4,3,30,1000,1,1
0.0598549240315043,0.3217560285885,0.0728350512158944,0.552338741988498,0.120232628755747,0.366940635405045,-0.3,3,30,1000,1,1
0.0481185941260818,0.317493424231881,0.0756393839467904,0.553596393538098,0.10625004052662,0.400021534356373,-0.2,3,30,1000,1,1
0.047455140440172,0.315736523110892,0.0885597070249289,0.56816834311229,0.11058928129741,0.442569601453631,-0.1,3,30,1000,1,1
0.0514980871258656,0.311950818741922,0.07257913871324,0.547109544956798,0.0891402170790994,0.458171297939852,0,3,30,1000,1,1
0.0602240647353196,0.31706220594489,0.129716546626337,0.584393385014662,0.0504199696731187,0.484309155671213,0.1,3,30,1000,1,1
0.0570069970965673,0.312949355478978,0.0844382227005715,0.561913961216431,0.0210237632008069,0.499524308320005,0.2,3,30,1000,1,1
0.0558262305688536,0.311073469509404,0.0998976436870826,0.570141350530994,-0.00665498474496426,0.507104868117439,0.3,3,30,1000,1,1
0.0741190505387661,0.31696133026333,0.128145038781744,0.590655715994059,-0.0716069859881905,0.524843714776385,0.4,3,30,1000,1,1
0.0675770192586362,0.315956067720804,0.126724622872103,0.59531803066785,-0.0982095197602792,0.499669978528882,0.5,3,30,1000,1,1
0.0554899883594141,0.30824601245635,0.0675545066193082,0.560455817378212,-0.131943978612285,0.502097959855589,0.6,3,30,1000,1,1
0.0758478942673101,0.316768928286412,0.119825203771435,0.603416783537948,-0.170496540983272,0.448319906926446,0.7,3,30,1000,1,1
0.060594535990802,0.320002171069669,0.151332485787032,0.631147777532139,-0.177430139724864,0.384234414802558,0.8,3,30,1000,1,1
