"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
"0.644469766653964",5.00607607196474,2.08200703209008,19.492498895244,0.0945053574028379,0.297403461150499,-0.9,20,500,1.6,1,2,NA,NA,NA
"0.934737664618425",6.59536915841336,6.09379255734192,90.1159453250053,0.206961012213937,1.76646502191357,-0.6,20,500,1.6,1,2,NA,NA,NA
"0.558242158169543",3.46094906190834,2.74610646277334,30.3192101968843,0.260921990586796,1.62272599650202,-0.3,20,500,1.6,1,2,NA,NA,NA
"0.782298536108725",4.51225449854046,3.53335978933211,59.1397605158989,0.154254450707136,1.87677648533119,0,20,500,1.6,1,2,NA,NA,NA
"0.528911804240621",2.03748517511638,1.26745340279222,6.94272244041648,0.0378412945144587,2.04108143213995,0.3,20,500,1.6,1,2,NA,NA,NA
"0.637390335314566",3.64862755660665,2.56877474541003,46.3637057976791,-0.166282204668762,2.13195525398201,0.6,20,500,1.6,1,2,NA,NA,NA
"0.408506249536874",1.97378546086045,1.20631500017191,9.67525808824862,-0.197358135642348,1.45110930382008,0.9,20,500,1.6,1,2,NA,NA,NA
"0.721042224847847",5.55614550670685,1.85313405548668,17.7281069594042,0.0796531722360167,0.301210353758973,-0.9,20,500,1.7,1,2,NA,NA,NA
"0.866384954023079",5.65844254346537,4.52874799473221,51.3050248434026,0.240201552843973,0.922598031809806,-0.6,20,500,1.7,1,2,NA,NA,NA
"0.567739392425436",3.63578737537543,1.86114772900523,22.6439214130862,0.300023513974325,1.52736801295039,-0.3,20,500,1.7,1,2,NA,NA,NA
"0.569057181086566",2.80965030115807,1.38905397877,12.1490992231614,0.188508444047633,2.02620558280125,0,20,500,1.7,1,2,NA,NA,NA
"0.556467932675654",3.0360639616615,1.66244769716528,21.514180415399,0.0310884365349526,2.18286727924592,0.3,20,500,1.7,1,2,NA,NA,NA
"0.647468666824788",3.07198943305176,1.61616385298661,15.2965971523939,-0.156896033087926,3.13940089711421,0.6,20,500,1.7,1,2,NA,NA,NA
"1.59950325517161",3.85410495728548,397.989653867571,1058.97725260209,-0.205106421356903,3.60341501853503,0.9,20,500,1.7,1,2,NA,NA,NA
"0.179137779880509",0.726061543083795,0.259360805999559,1.16149939290927,0.0274763571893738,0.0883998265261054,-0.9,20,500,1.6,1,3,NA,NA,NA
"0.126415829764784",0.581358879202047,0.18662748178727,0.886247749584088,0.12822131471329,0.316078636342183,-0.6,20,500,1.6,1,3,NA,NA,NA
"0.164200296220218",0.561246965611049,0.148624098188709,0.843085743910493,0.122986807501379,0.492611921156524,-0.3,20,500,1.6,1,3,NA,NA,NA
"0.14228986586721",0.529905810603869,0.114247224060509,0.812458200514837,0.085475404677518,0.597264103595117,0,20,500,1.6,1,3,NA,NA,NA
"0.164439575766113",0.527079095789061,0.158664814481869,0.866152133000414,-0.0175783905698371,0.707205665105762,0.3,20,500,1.6,1,3,NA,NA,NA
"0.178913826933572",0.532564052601635,0.122958261570589,0.852296822034219,-0.153421131708623,0.65540885998938,0.6,20,500,1.6,1,3,NA,NA,NA
"0.150963620198977",0.54218351241368,0.225804367905822,1.00635506350622,-0.16416274519399,0.380063131240601,0.9,20,500,1.6,1,3,NA,NA,NA
"0.212392608685521",0.823408571066252,0.31182218704994,1.37776778548354,0.0319366829153191,0.0909687131449797,-0.9,20,500,1.7,1,3,NA,NA,NA
"0.168694468004623",0.656457444858754,0.238487620567175,1.08403250499346,0.122546072047116,0.343718960045191,-0.6,20,500,1.7,1,3,NA,NA,NA
"0.131880172635748",0.573900021890748,0.158077095839652,0.864297286753727,0.167927436119602,0.524304042784275,-0.3,20,500,1.7,1,3,NA,NA,NA
