"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","n_reps","beta_free","omega_var","Tfull","N"
0.225295864955994,1.06070601493313,0.0383561955296106,0.281574940135746,0.0196337905076379,0.134457872269268,-0.9,2500,1,0.0625,2,20
0.146584074347057,0.70375131867933,0.0279799581534276,0.226325747402783,0.0948829092976693,0.466709803943243,-0.6,2500,1,0.0625,2,20
0.153252777189281,0.596613022982574,0.0216938160477064,0.188538062690807,0.0904541981015999,0.692726100258228,-0.3,2500,1,0.0625,2,20
0.162148524165032,0.53510355133906,0.0176770671226645,0.153497654130099,0.0411665658218846,0.80203489580499,0,2500,1,0.0625,2,20
0.169927866871182,0.510755344956333,0.0156543785332795,0.151070267366535,-0.0643821075666699,0.81458534275042,0.3,2500,1,0.0625,2,20
0.161292475327958,0.51231571044945,0.0250961545208383,0.199991224976066,-0.134710998342028,0.682027139177564,0.6,2500,1,0.0625,2,20
0.159481895042437,0.547826031598313,0.0677519314043937,0.280715266464633,-0.081519908887516,0.304641120608928,0.9,2500,1,0.0625,2,20
0.0584370947766437,0.256357551492228,-0.0012210372277568,0.0461500890343332,0.0134485986787824,0.0597630684163157,-0.9,2500,1,0.0625,3,20
0.0435114177033022,0.229562384468196,-0.00248229645384413,0.0434052963480298,0.0641941542170602,0.209992816768343,-0.6,2500,1,0.0625,3,20
0.0436440489567408,0.216698193640605,-0.00479528718489254,0.0439411919969181,0.0865814096345995,0.30983431179218,-0.3,2500,1,0.0625,3,20
0.0607314062163195,0.214934267997034,-0.00438343106503991,0.048366496929326,0.0410271912217388,0.366934113854334,0,2500,1,0.0625,3,20
0.0630535719223404,0.215929195476972,-0.00289947024077794,0.0544791932834489,-0.0480168965022293,0.382784238231664,0.3,2500,1,0.0625,3,20
0.0642449329146628,0.219518478094952,-0.000606369634286508,0.0649478150400945,-0.107871241481178,0.330665040167832,0.6,2500,1,0.0625,3,20
0.0653545323353197,0.250751097624903,0.0259005121055775,0.108099061155916,-0.070241035871867,0.135133659180344,0.9,2500,1,0.0625,3,20
0.0231319967156182,0.188776011902552,-0.00382599414247593,0.0343180118941822,0.013333833403309,0.0470682990234398,-0.9,2500,1,0.0625,4,20
0.0241147046539845,0.177526390969539,-0.00390895840375025,0.0335381062927455,0.0514819458838134,0.154504268238772,-0.6,2500,1,0.0625,4,20
0.0293061376019448,0.170815881209166,-0.0040689752995787,0.0348070287842541,0.0586388843015782,0.228225201190624,-0.3,2500,1,0.0625,4,20
0.0405764482174263,0.167111789710468,-0.0068409026220556,0.036165925403876,0.0412760380234512,0.271475511453384,0,2500,1,0.0625,4,20
0.0438355045131812,0.167907709184022,-0.00784620065198281,0.039532929101622,-0.0255183555553466,0.276930219532839,0.3,2500,1,0.0625,4,20
0.0399730002741479,0.17228111502827,-0.00340682588520548,0.04858087873103,-0.106429413121614,0.246702868109015,0.6,2500,1,0.0625,4,20
0.0394362820520701,0.20092747827436,0.014052526238291,0.0830130772397291,-0.0598171021135706,0.100765192349582,0.9,2500,1,0.0625,4,20
0.142431028272288,0.585802309367158,0.0255739813583477,0.141040504323573,0.013408390497506,0.087983745670932,-0.9,2500,1,0.0625,2,30
0.101578024257664,0.406622736827511,0.0137934737775155,0.0952994590248861,0.0562918724602242,0.301928904771697,-0.6,2500,1,0.0625,2,30
0.0853849832500811,0.3359421942482,0.00656469501682116,0.076352793967913,0.0758422654257142,0.463803173730137,-0.3,2500,1,0.0625,2,30
0.0940881981816179,0.31817715155179,0.00974472619062053,0.0958603733258099,0.0422616411865186,0.54935570164993,0,2500,1,0.0625,2,30
0.0920938927289896,0.298202743173734,0.0069645998681066,0.0853867647151008,-0.0393522165745008,0.554174483269235,0.3,2500,1,0.0625,2,30
0.10218961184248,0.296975909196898,0.012179678143018,0.0960967006009683,-0.10232293379359,0.452968506153597,0.6,2500,1,0.0625,2,30
0.0933970298957564,0.329872234240612,0.034639319767121,0.147515673331047,-0.0450937430691162,0.138882543198189,0.9,2500,1,0.0625,2,30
0.0378702061326779,0.196022730683514,0.000116769222224721,0.0357320865085285,0.00861860359154377,0.0451980526893725,-0.9,2500,1,0.0625,3,30
0.0288479731236986,0.177928800687909,-0.000834144512235783,0.034202001289405,0.0389502221166398,0.160426254521788,-0.6,2500,1,0.0625,3,30
0.0272396976660378,0.167655492231268,-0.00336166586144468,0.0345397996458864,0.0616550275504217,0.246341529786661,-0.3,2500,1,0.0625,3,30
0.0338371440776738,0.164665197154042,-0.00329056860815199,0.0379836360780063,0.0471072157894995,0.29798946707306,0,2500,1,0.0625,3,30
0.046592097651759,0.164973299939579,-0.00168435295652608,0.0431917074237044,-0.0327280125399392,0.307836622404048,0.3,2500,1,0.0625,3,30
0.0464675404660237,0.167167515094158,0.000178971043325301,0.0515805440939834,-0.079342290467585,0.254345842302137,0.6,2500,1,0.0625,3,30
0.0423013462219846,0.191705649448081,0.0140969840419919,0.0857806758094248,-0.0341546175822784,0.080009352380752,0.9,2500,1,0.0625,3,30
0.0184001516855947,0.151192986953636,-0.00399632434009249,0.0275101967483557,0.00759358185656385,0.0361820179944572,-0.9,2500,1,0.0625,4,30
0.0181816522345397,0.141559526289611,-0.00418851422328708,0.0268924359348276,0.0352530337763083,0.123291695494584,-0.6,2500,1,0.0625,4,30
0.022700308525523,0.137018955899461,-0.00304886480451143,0.0282297319857498,0.0472845282730797,0.186949180376455,-0.3,2500,1,0.0625,4,30
0.0263959501454616,0.133111869037943,-0.00402079079644586,0.0299061555028299,0.0339234433832767,0.222740816025887,0,2500,1,0.0625,4,30
0.0288494056658674,0.133350185791554,-0.00510665436654233,0.0330605660303462,-0.0264975872683355,0.23389071621861,0.3,2500,1,0.0625,4,30
0.0249541767074944,0.13708579819077,-0.00412324513484049,0.03983675918907,-0.0687332019598121,0.19742350030847,0.6,2500,1,0.0625,4,30
0.0194122132892214,0.160609980979935,0.00921131105724269,0.0716943010330649,-0.031706513709682,0.0642917898134483,0.9,2500,1,0.0625,4,30
0.10256848266758,0.411696560032061,0.0177745517220987,0.0879085687961703,0.00828355396527547,0.0684219093741359,-0.9,2500,1,0.0625,2,40
0.0629556909466327,0.292061639384601,0.00589378419945476,0.0592246526285661,0.0451505938888603,0.240936713676832,-0.6,2500,1,0.0625,2,40
0.0555759608390219,0.255381134680265,0.00526442952913683,0.0576668064392056,0.0547887602567874,0.369145024876273,-0.3,2500,1,0.0625,2,40
0.0567694467099284,0.23374398100938,0.00186129685010011,0.0572129060783869,0.0374016686114837,0.439935949220741,0,2500,1,0.0625,2,40
0.0698618010022975,0.227234985707631,0.00486447850855957,0.0646396692307258,-0.0158825267071505,0.436782766695071,0.3,2500,1,0.0625,2,40
0.068290271734122,0.221962378618114,0.00852234827940528,0.0724534937150127,-0.0814463384118087,0.344508391049695,0.6,2500,1,0.0625,2,40
0.066860961527227,0.25133377848773,0.02256273643179,0.11041911025556,-0.0260238330271247,0.0919357299914783,0.9,2500,1,0.0625,2,40
0.0244197341374476,0.16351594822349,0.000371189443915876,0.030046376315436,0.00664705778889448,0.0374426146829277,-0.9,2500,1,0.0625,3,40
0.0233252372392121,0.149294904740922,-0.000639357667822301,0.028833159968635,0.0235000506385091,0.132265526931236,-0.6,2500,1,0.0625,3,40
