"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","n_reps","beta_free","omega_var","Tfull","N"
0.245236571092687,2.12726054926149,1.58044653430065,14.670730679967,0.108668330975887,0.308164599033978,-0.9,500,0.7,1,2,20
0.160979665236296,1.38498278818748,3.259067581139,31.2663268813189,0.215925041095945,0.820707157446253,-0.6,500,0.7,1,2,20
0.252489388598407,1.4386178214615,2.80926919267634,32.1483211341662,0.225989384400709,1.21050197596245,-0.3,500,0.7,1,2,20
0.255960450927346,1.21470833669427,1.49853394672234,14.6894641603705,0.135853304299211,1.6571190557745,0,500,0.7,1,2,20
0.232445710764494,1.52984304778636,25.0388598213055,421.137351086311,-0.00465001620997875,1.74173805061395,0.3,500,0.7,1,2,20
0.203821700406881,0.867188396894412,0.866013673268805,3.98695959514304,-0.158484433274639,1.60559019728702,0.6,500,0.7,1,2,20
0.289237572228445,1.99754431110351,2.96415208541597,62.0299046919136,-0.226797760526458,1.74756615291233,0.9,500,0.7,1,2,20
0.0810115258592545,0.479344074889633,0.234923912148965,1.15707304954922,0.0386189675870383,0.0988104834906183,-0.9,500,0.7,1,3,20
0.0268126563549036,0.408276872001774,0.231989601091842,0.908732805602453,0.122240078007898,0.330853457898046,-0.6,500,0.7,1,3,20
0.0789439445242559,0.392593228193559,0.158115788777993,0.819709701380241,0.137556813224603,0.490651760760499,-0.3,500,0.7,1,3,20
0.10420806455097,0.397175716376925,0.264895055555958,1.00567083902981,0.0979367573313709,0.623148205260167,0,500,0.7,1,3,20
0.0791734622658069,0.375634963794179,0.100388281850703,0.778487303784529,-0.0299923917729289,0.674523805783622,0.3,500,0.7,1,3,20
0.0775057598430781,0.389556235301399,0.192600177899488,0.870548587658011,-0.174255755250078,0.702434516303168,0.6,500,0.7,1,3,20
0.0634844504830369,0.41136256382983,0.280931815933103,1.02895887195426,-0.225500767385995,0.431583546936266,0.9,500,0.7,1,3,20
0.0270328594025734,0.364163937069898,0.0654308303621368,0.678077521876511,0.0240143162285821,0.0640906525200503,-0.9,500,0.7,1,4,20
0.0166875101711844,0.332423065600247,0.0207562209619143,0.577347645190315,0.0868611303190961,0.21793745505241,-0.6,500,0.7,1,4,20
0.0539395946158429,0.323089865836805,0.025887908612756,0.562601780822576,0.118854774791987,0.335684356690756,-0.3,500,0.7,1,4,20
0.0217790817674181,0.31754874733763,0.0352853184829304,0.581664990909198,0.0897422276163808,0.405426436759517,0,500,0.7,1,4,20
0.0464610489146179,0.326429428750535,0.10051383972292,0.618734479835156,-0.0434529955736116,0.452232954910133,0.3,500,0.7,1,4,20
0.052470606792612,0.328694127824925,0.104666084319647,0.637214150124323,-0.163169233466471,0.461206106820724,0.6,500,0.7,1,4,20
0.0257631221791914,0.342685789715962,0.0866124377557144,0.715214352668344,-0.171984024893132,0.265771560613787,0.9,500,0.7,1,4,20
0.280282957528861,1.35327990001328,1.52896994501902,8.50480293166136,0.0290107189175781,0.153426845167104,-0.9,500,0.7,1,2,30
0.118654949172214,0.730079541514334,0.93159757220983,5.28848668282946,0.14576043542826,0.503183185228351,-0.6,500,0.7,1,2,30
0.128415074012951,0.57526988518382,0.60122087666272,2.63501948988565,0.166549816189145,0.742496410159997,-0.3,500,0.7,1,2,30
0.126018404753235,0.545989101162682,0.655979846174181,3.52707176929341,0.142614145940909,0.893383059194058,0,500,0.7,1,2,30
0.137822985740208,0.522315056566748,0.556789626045022,2.13715166292191,0.00372043369410822,1.04457736448484,0.3,500,0.7,1,2,30
0.153568908531113,0.495177744264126,0.451130402624679,1.45216360384423,-0.131237344717037,0.979294880863622,0.6,500,0.7,1,2,30
0.100158870750544,0.495029011768249,0.43552724308287,1.56743082505702,-0.157191249214726,0.489662317500444,0.9,500,0.7,1,2,30
0.0641165658826942,0.363577747228705,0.186315127135427,0.82957653007801,0.0115322414815536,0.0619773375893596,-0.9,500,0.7,1,3,30
0.0352107606114523,0.310242545005966,0.095561734354466,0.596722592539143,0.0698630042982126,0.229426485697767,-0.6,500,0.7,1,3,30
0.0483085472006204,0.299842914442029,0.119053588312759,0.591979338640788,0.138254786443599,0.380781604766757,-0.3,500,0.7,1,3,30
0.0529469575074523,0.292239432088903,0.0648529093410424,0.563732848818008,0.0597997106463683,0.475019333686146,0,500,0.7,1,3,30
0.0690021414176786,0.294472328651195,0.116728807271664,0.595511522191939,-0.0284103577355665,0.560887741213532,0.3,500,0.7,1,3,30
0.0507000718811311,0.297497656987858,0.142587854595976,0.620550623544757,-0.137300352250081,0.527929811158425,0.6,500,0.7,1,3,30
0.0652935604326899,0.313864503823552,0.129669842975143,0.698126461240179,-0.132400319439039,0.247068147939941,0.9,500,0.7,1,3,30
