"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
"1.56104244827436",13.6580781116877,2.83157031311457,36.7153250922517,0.0892054187352746,0.431994843139523,-0.9,20,500,2.4,1,2,NA,NA,NA
"4.37419107071894",19.1871867360043,617.171416419502,1114.1518642564,0.310762591628216,5.55865937556259,-0.6,20,500,2.4,1,2,NA,NA,NA
"30.6424888968964",19.9123987132522,29954.2255938482,17951.2929396251,0.327673630977983,9.12252535325043,-0.3,20,500,2.4,1,2,NA,NA,NA
"33.9808467673688",18.4548062411222,22231.385951073,14513.1917084274,0.183893898230885,13.1324366455346,0,20,500,2.4,1,2,NA,NA,NA
"1.5834717032717",11.4609209829284,12.477174704267,161.800312002759,0.015017427271868,6.51641271190341,0.3,20,500,2.4,1,2,NA,NA,NA
"2.38812643669927",15.0415935432649,38.9196979139981,431.994531869481,-0.144958376899783,11.4738030290122,0.6,20,500,2.4,1,2,NA,NA,NA
"1.05350332060412",6.46739625690445,3.62138441620237,27.1352372692283,-0.20356416983628,4.67863312091996,0.9,20,500,2.4,1,2,NA,NA,NA
"1.2031241580948",12.846387757463,2.08396779639353,29.9198250673641,0.118004666566576,0.513206668150877,-0.9,20,500,2.5,1,2,NA,NA,NA
"4.59304194785406",16.1330769280006,851.217243594083,1152.1024610923,0.309058777093582,4.04910373590959,-0.6,20,500,2.5,1,2,NA,NA,NA
"1.7899561120566",18.3128125306403,5.59232968647898,123.15713690279,0.25763188167793,5.58629290855696,-0.3,20,500,2.5,1,2,NA,NA,NA
"16.0031589949083",18.0992895527559,10127.8046157738,6671.05072422398,0.238394313106368,9.56362083547414,0,20,500,2.5,1,2,NA,NA,NA
"17.8250952309491",19.5042430051716,5960.9080787032,4693.01990963345,0.013722578780241,14.2064589242647,0.3,20,500,2.5,1,2,NA,NA,NA
"7.15612086407735",10.8720895783839,1621.2541917745,1736.39327659577,-0.152659370094826,7.17008551023449,0.6,20,500,2.5,1,2,NA,NA,NA
"7.23002987070711",14.5900186916802,5743.53039213359,4765.25070354552,-0.247675389196216,7.84999228508383,0.9,20,500,2.5,1,2,NA,NA,NA
"0.493940872639187",1.57301606063213,0.765387661382439,2.80757185255116,0.0349528101939047,0.112936967981746,-0.9,20,500,2.4,1,3,NA,NA,NA
"0.261681375626868",1.05586327379622,0.290872145355006,1.42139351418442,0.177403314809003,0.399676318396431,-0.6,20,500,2.4,1,3,NA,NA,NA
"0.331755289885123",1.10871815235981,0.368404003828985,2.3040636304193,0.20228886448433,0.571853621248297,-0.3,20,500,2.4,1,3,NA,NA,NA
"0.246683904853463",0.862361181901528,0.154240609297577,1.02565966620553,0.104607697390143,0.767863779867276,0,20,500,2.4,1,3,NA,NA,NA
"0.359467373181434",1.0371987981151,0.480490767138022,2.1942785931065,-0.061413370089569,0.77729906371701,0.3,20,500,2.4,1,3,NA,NA,NA
"0.312133098265119",0.863207122720145,0.204621469523023,1.12863016529844,-0.182705052175113,0.825464696537125,0.6,20,500,2.4,1,3,NA,NA,NA
"0.309098769460021",0.88801803642349,0.290314167741693,1.34394807006427,-0.219676467258596,0.479553614883138,0.9,20,500,2.4,1,3,NA,NA,NA
"0.274292331141152",1.34851934328355,0.371288453126187,1.86045286624798,0.0353446182460902,0.111887286529448,-0.9,20,500,2.5,1,3,NA,NA,NA
"0.386990363787836",1.26258246574707,0.464078438077606,1.93590594233253,0.169152415498941,0.383447638348669,-0.6,20,500,2.5,1,3,NA,NA,NA
"0.294464538254805",1.09099041419778,0.398613008447998,2.30504708980746,0.203257346564957,0.650128089705272,-0.3,20,500,2.5,1,3,NA,NA,NA
"0.458785413343355",1.40813124894758,1.03948552215985,5.69016142651748,0.121357856788906,0.990583170890413,0,20,500,2.5,1,3,NA,NA,NA
"0.364203942678482",0.956532793344824,0.270044823019398,1.26560681601923,-0.0177553339710291,0.872594628038474,0.3,20,500,2.5,1,3,NA,NA,NA
"0.391677946213038",1.01834855840671,0.383072119503634,1.57432853869965,-0.164586154009008,0.796996031763687,0.6,20,500,2.5,1,3,NA,NA,NA
"0.237201651169119",0.87563097526257,0.246213401888699,1.26035984950879,-0.189373120255864,0.48126104629998,0.9,20,500,2.5,1,3,NA,NA,NA
"0.135251307306437",0.717464133440083,0.0730688100936013,0.771921837271674,0.0308751960567279,0.0748418913296201,-0.9,20,500,2.4,1,4,NA,NA,NA
"0.136343147309083",0.632298487859787,0.0874896189912206,0.725382432809935,0.116652776807574,0.256742531199716,-0.6,20,500,2.4,1,4,NA,NA,NA
"0.120969365449861",0.580859034072957,0.0184123004283007,0.654886452487119,0.14560737317647,0.372249405144263,-0.3,20,500,2.4,1,4,NA,NA,NA
"0.183050163212956",0.566112538179003,0.0485966555963894,0.658092708247662,0.0692046069798056,0.456109962153763,0,20,500,2.4,1,4,NA,NA,NA
"0.192637421708826",0.571436916239415,0.0595418293040989,0.713218699427637,-0.029049414227705,0.50181069108324,0.3,20,500,2.4,1,4,NA,NA,NA
"0.159485553601716",0.544537796632341,0.0285388783783704,0.692521484859739,-0.15130418376279,0.460014195451681,0.6,20,500,2.4,1,4,NA,NA,NA
"0.0792398799718706",0.578868014282598,0.120457863323147,0.859194107413735,-0.161085936165106,0.252500968095342,0.9,20,500,2.4,1,4,NA,NA,NA
"0.197538260722375",0.779376641900206,0.157756370368691,0.878907269477239,0.0223218600087157,0.0701435275254789,-0.9,20,500,2.5,1,4,NA,NA,NA
"0.132665190548105",0.647657724007675,0.0768653518004551,0.717452240176473,0.122023755831526,0.248151458143221,-0.6,20,500,2.5,1,4,NA,NA,NA
"0.19816228119734",0.633792862728262,0.100788533952825,0.737080889363077,0.129821426643241,0.395172918339816,-0.3,20,500,2.5,1,4,NA,NA,NA
"0.194922930758117",0.590681304511522,0.0457048843079351,0.678930621660222,0.0913371417430315,0.475852137531501,0,20,500,2.5,1,4,NA,NA,NA
"0.192926190561911",0.579757652663276,0.0712871710795865,0.718780885781289,-0.0513694157993032,0.507402096636279,0.3,20,500,2.5,1,4,NA,NA,NA
"0.243213087975422",0.608232068220106,0.108435603175846,0.780417515651525,-0.156017618213075,0.490650785107256,0.6,20,500,2.5,1,4,NA,NA,NA
"0.140231708646453",0.639469472921689,0.139990553482914,0.987560860837934,-0.167285914885547,0.28508062104984,0.9,20,500,2.5,1,4,NA,NA,NA
"0.849790570078081",5.08516534987259,1.55153524031769,11.0406830997049,0.0538439541225145,0.213466183141315,-0.9,30,500,2.4,1,2,NA,NA,NA
