"beta","beta_sd","omega","omega_sd","rho","rho_sd","tau1","tau1_sd","tau2","tau2_sd","tau3","tau3_sd","tau4","tau4_sd","tau5","tau5_sd","tau6","tau6_sd"
1.14888082280942,0.253990541039344,1.17631504548641,0.354958673022752,-0.696851112337841,0.078311289840525,0.581599823944311,0.591020332191425,0.572584207456082,0.210519408953843,0.527854104135228,0.200342963026366,0.940376013977308,0.153922403550467,0.802959619386733,0.171612085397284,1.12325534606373,0.260864287026124
1.18224709461555,0.21319305088545,0.583617780539394,0.193358777159318,-0.472516360936177,0.18206863277758,0.0868722099662799,0.622350525499586,0.23656705580936,0.28127756730611,0.817838682754449,0.193328913376819,0.877495706371688,0.1424927389474,0.577157744956924,0.213186583665945,0.561893960771633,0.259388103600832
0.81937806409462,0.209426691859644,1.43597455827807,0.470447419551121,-0.303658527801275,0.238336596371278,-0.656120635591293,0.722869469931655,0.540851468555842,0.266091053611597,0.524119081832417,0.20763192709647,0.775106230939166,0.178197980150065,0.677524417222792,0.217516225354273,0.752967082253415,0.245105453309921
1.00671259010362,0.193664036027061,1.01379889010173,0.283754438081894,-0.715496034769537,0.0848097007655303,0.579048366824768,0.616012393766676,0.730271569648079,0.210089034339948,0.898201009435028,0.155348084212706,0.749694605449159,0.175399379341184,0.97073031230182,0.193093746973833,0.969852288082581,0.243162166653132
1.12034177471608,0.254007403575633,0.811888804029378,0.292341027835381,-0.607590765505246,0.133411808514662,0.67519214433896,0.609903163739872,0.58436017840614,0.255429452142944,0.616478916175596,0.222922515918671,0.682246337576494,0.259642341869798,0.25113106103767,0.258141945094127,0.737879006787008,0.169047032936464
0.976787757250736,0.187549829979305,0.873624689778287,0.259224596688912,-0.403842624589297,0.151456013464268,0.114550759592259,0.59044284131121,0.863170110872044,0.162199990598147,0.750183830484164,0.174377100916289,0.56202807974129,0.199610557289987,0.776131582246614,0.182977687901813,0.163794190602931,0.344637042620308
1.05306521134577,0.220215061408268,0.977823524664968,0.314692739681666,-0.573528350548567,0.130713155429274,0.0651376281214566,0.579894170738202,0.500602048241145,0.219178062658966,0.969798311859464,0.161184349159822,0.830266611981628,0.200980512574004,0.474321195076801,0.223668211482546,0.949162826063991,0.276084515678034
0.872914542515675,0.238030436555722,0.682484604990586,0.207191976797161,-0.360624011270046,0.198351679912757,-0.722397567697545,0.904600030481881,0.739250318782986,0.191638073514687,0.299067661884338,0.236932753017832,0.644019229588814,0.177913073919095,0.321962558735884,0.202707518530687,0.429818476557562,0.214566318009149
1.26409159192173,0.302946985260035,1.74489676255017,0.676447585489379,-0.624392156795702,0.146691852028461,0.0184227563980554,0.76480885308717,0.932897822372761,0.229241918305275,0.643336438913369,0.226614535302367,0.678269704776671,0.246622084032729,1.10642195435113,0.241816604967344,1.06532045661374,0.252629798586391
0.958821475287437,0.227850005616352,0.818229608356136,0.265167496403945,-0.5650847194743,0.171527049738387,-0.413449184242031,0.591518147978596,0.716575876516585,0.199026053297105,0.588330958575216,0.207068884232459,0.536064201123194,0.190149983139653,0.765296650635051,0.224939108162144,0.589248325844113,0.277933932995179
1.04074046242343,0.209284968894981,0.853060338107542,0.260148935249637,-0.531170599946191,0.129308520754387,0.203098201839991,0.677371317955837,1.03438958419835,0.159013314830067,0.508907533791368,0.20594815849938,0.477673238594717,0.2110245154411,0.591235229183141,0.22877703186872,0.671732135456804,0.260835327245123
0.980458604944209,0.252661718957077,1.0365673138713,0.486848426702201,-0.736008029033827,0.12621723627313,0.38361473125445,0.731829355512048,0.598830731671642,0.258156665567944,0.518746536285742,0.307754036877559,0.723862748861919,0.268379969247386,0.740248444363507,0.29114771954691,0.615419247233465,0.232137192517324
0.796164585301673,0.252388070853867,1.07433383607272,0.390234030905317,-0.474746788253875,0.168356564963918,0.265027519539022,0.627392751470777,0.430486424020882,0.22227261735856,0.875074273037661,0.193925157516304,0.66247940297229,0.213906220010045,0.729406883466436,0.204510127712297,0.5167546016123,0.3927464827655
0.797658144937878,0.232475435967176,1.16901350146417,0.401709518920538,-0.658411763680313,0.121510055034562,-0.507116722246715,0.575293052183458,1.16021316682544,0.161982952487931,0.420582426274434,0.208248919602498,0.566359975078733,0.262750952848697,0.658492450866405,0.256920469385211,0.471106153104285,0.318846376235737
1.67652377025263,0.324585475904641,1.57857014162851,0.544040887460193,-0.765101854334892,0.0892721020110498,-0.512134087249293,0.808557028397674,1.19367554062498,0.198685746321585,1.15631130347921,0.197427910538981,0.987190590346114,0.232769187235763,0.892114149490278,0.259230099686477,0.816344565354036,0.308026786295217
