"beta","beta_sd","omega","omega_sd","rho","rho_sd","conv_code","tau1","tau1_sd","tau2","tau2_sd","tau3","tau3_sd","tau4","tau4_sd","tau5","tau5_sd","tau6","tau6_sd"
1.10305859456507,0.125268488050386,0.0575894737452492,0.0196212275759731,-0.613993118113594,0.0985041380690214,1,-0.00778755424038672,0.255035187589249,0.618147455735591,0.159849333719434,0.777277525776724,0.122615494979282,0.777870961552872,0.148040653347807,0.779137031996231,0.159916723273159,0.75390911284966,0.195726378794598
1.12827955665556,0.109007063693454,0.0649868683268108,0.0206462793078398,-0.655787519869961,0.0785233846307108,1,0.239846894394897,0.257233412203879,0.454844308606041,0.162160075512176,0.923873388939216,0.107277963649093,0.512425014658542,0.15746125483022,0.857355517874861,0.168743669098249,0.616662157717598,0.204810466373671
1.13297298804304,0.116766280819943,0.0795269708468326,0.023520905743412,-0.557980431957103,0.112008750850382,1,0.00252904561392682,0.214244111871111,0.766889972379813,0.125186156118789,0.566453527379172,0.129975464413029,0.679361330468442,0.157101926513995,0.730151809939933,0.150768683887429,0.857232061625926,0.200803906305888
1.2259397469809,0.150775321998656,0.0983324970062955,0.0363041335328865,-0.693847198330435,0.0846011216532749,1,0.132953860020498,0.261337270513227,0.860167997470407,0.149136617695215,0.759139295724172,0.133627052677944,0.836892518830334,0.165448634123023,0.647758965497649,0.216508689562108,1.04754435085125,0.240447958658876
1.15948389845016,0.148910894249209,0.0707646748104069,0.0285951882292545,-0.562787850657778,0.115200647227828,1,-0.258902815803698,0.278259142197531,0.913475758164136,0.136044612591733,0.771127940092101,0.137421462847516,0.842780485112495,0.15445882011442,0.725836737241479,0.183008341013255,0.595505757859085,0.24527413796189
0.916083020224707,0.0896195442698906,0.0306104768016231,0.0112060997264739,-0.352733926183025,0.145143994885428,1,0.125757500074495,0.199393153457366,0.398707476845373,0.146885298019196,0.629694832864592,0.106721704702784,0.515227323043055,0.14573045253102,0.384955915206647,0.140319367847751,0.506798807522168,0.164218089785679
1.17698193391195,0.162913270210238,0.0684328428785782,0.0227265740673647,-0.640824690088579,0.104905869406887,1,0.296935666946687,0.280775046830253,0.661742268721857,0.154870645018439,0.587177544695618,0.170211985461537,0.932535531234847,0.146034879161427,0.617120722968499,0.188803341641062,0.982262047930161,0.190462542683083
1.01039258466961,0.0972735613540832,0.0480604518356144,0.015541114035458,-0.43182947074271,0.132355172523081,1,0.056567572501906,0.227783024034318,0.592372990755787,0.13745874353899,0.710862540983734,0.115002213437223,0.499173808416519,0.150396039175928,0.630276672982541,0.156203982433671,0.586041406182542,0.154064457494293
1.21582166469744,0.16482564568142,0.0915271983746619,0.0335909088937747,-0.741866829880203,0.0728952852242711,1,-0.14518254646704,0.306167818677269,0.810052774650907,0.158052258304227,0.873060409952498,0.134991505528682,0.721680352243073,0.156825197301372,0.917294389849132,0.175444894222167,0.611167963342195,0.236909603592318
1.15731091209421,0.126308451884271,0.0693131633679407,0.0223723810566025,-0.6384088849466,0.0816266457432488,1,0.0212004912279819,0.249511844742922,0.782227348446812,0.14137301429432,0.669831142905007,0.130583408787624,0.612378416142355,0.144323184336328,0.690536365976461,0.161100627457636,0.745497557211986,0.197371658188662
